unit	stage	id	type	celan	english	source
U11	4	PE-WRT1-0008	Expansion example	zhaelpralaen krenral krenzhir.	The metalworker repairs the wire.	Work Roles and Trade 1
U12	4	PE-GCI1-0001	Expansion example	rinaen velkelor belor.	The library is an institution.	Government and Civic Institutions 1
U12	4	PE-GCI1-0002	Expansion example	rinaen shenpralor belor.	The laboratory is an institution.	Government and Civic Institutions 1
U12	4	PE-GCI1-0003	Expansion example	rinaen lorbel an varthas.	The government is in the city.	Government and Civic Institutions 1
U12	4	PE-GCI1-0004	Expansion example	lorin lorbel drobel.	The government directs the waterworks.	Government and Civic Institutions 1
U12	4	PE-GCI1-0005	Expansion example	lorbelaen khumkel felbelor.	The council governs the district.	Government and Civic Institutions 1
U12	4	PE-GCI1-0006	Expansion example	lorbelaen kalrin varthas.	The sovereign governs the city.	Government and Civic Institutions 1
U12	4	PE-GCI1-0007	Expansion example	rinaen khumkel an worxaror.	The council is in the hall.	Government and Civic Institutions 1
U12	4	PE-GCI1-0008	Expansion example	aen khumkel kelreth.	The council speaks about the dispute.	Government and Civic Institutions 1
U12	4	PE-GCI1-0009	Expansion example	keltharaen khumkelral an khumkel.	The representative votes in the council.	Government and Civic Institutions 1
U12	4	PE-GCI1-0010	Expansion example	rinaen khumkelral an felbelor.	The representative is in the district.	Government and Civic Institutions 1
U12	4	PE-GCI1-0011	Expansion example	aen kalrin kalkel.	The sovereign speaks a decree.	Government and Civic Institutions 1
U12	4	PE-GCI1-0012	Expansion example	lorbelaen kalrin lorbel.	The sovereign governs the government.	Government and Civic Institutions 1
U12	4	PE-GCI1-0013	Expansion example	lorin belvoklor belvok.	The chieftain guides the clan.	Government and Civic Institutions 1
U12	4	PE-GCI1-0014	Expansion example	thalkelrethaen belvoklor kelreth.	The clan leader arbitrates the dispute.	Government and Civic Institutions 1
U12	4	PE-BSPI1-0019	Expansion example	rinaen velkelor an ndavior.	The library is on a building storey.	Built Spaces and Public Infrastructure 1
U12	4	PE-BSPI1-0023	Expansion example	rinaen welrim an worxaror.	The feast is in the hall.	Built Spaces and Public Infrastructure 1
U12	4	PE-BSPI1-0024	Expansion example	rinaen worxaror an mekor.	The hall is inside the building.	Built Spaces and Public Infrastructure 1
U12	4	PE-BSPI1-0027	Expansion example	rinaen welrim an welpralor.	The feast is in the public square.	Built Spaces and Public Infrastructure 1
U12	4	PE-BSPI1-0031	Expansion example	rinaen kel an velkelor.	The text is in the library.	Built Spaces and Public Infrastructure 1
U12	4	PE-BSPI1-0032	Expansion example	var I an velkelor.	I go to the library.	Built Spaces and Public Infrastructure 1
U13	4	PE-ICAES1-0002	Expansion example	rinaen shendava an kavdava.	The data is in the record.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0003	Expansion example	rinaen kavdava an davaxar.	The record is in the file.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0004	Expansion example	dor kavral davaxar an beldava.	The archivist puts the file in the database.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0005	Expansion example	kes mekral beldava ser davapral.	The technician examines the database with the display.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0006	Expansion example	rinaen zheldava an davapral.	The signal appears on the display.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0007	Expansion example	talaen kesmek zheldava shan ohmshan.	The sensor receives the signal through the interface.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0008	Expansion example	rinaen anmek an ohmshan.	The input is at the interface.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0009	Expansion example	tal kalmek thalmek thal anmek.	The machine produces output from the input.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0010	Expansion example	tal raku thalmek.	The computation produces an output.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-ICAES1-0012	Expansion example	rakuaen rakumek shendava.	The computer processes the data.	Information, Computation, Automation, and Electrical Systems 1
U13	4	PE-SAC1-0002	Expansion example	kes shenral kal songaeth an songazun.	The researcher detects cosmic force in outer space.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0005	Expansion example	shen shenral shal nyeleth thal nyel.	The researcher measures stellar light from a star.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0006	Expansion example	tal kreznyel shal nyeleth an Vora.	The sun casts stellar light upon the planet.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0007	Expansion example	ravwekaen Vora an kreznyel.	The planet orbits the sun.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0008	Expansion example	kes shenral Vora ser zhel voraeth.	The researcher observes the planet and its planetary energy.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0011	Expansion example	rinaen nyelbel an wornyelbel.	The star system lies within the galaxy.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0013	Expansion example	rinaen nyelzhir esh ravwek Vora.	The constellation appears beyond the planet's orbit.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0015	Expansion example	ravwekaen ravwekin an Vora.	The satellite orbits the planet.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0016	Expansion example	kes ravwekin an dralxar.	The satellite observes the eclipse.	Science, Astronomy, and Cosmology 1
U13	4	PE-SAC1-0018	Expansion example	dralxaraen Felvora an nyel.	The asteroid eclipses the star.	Science, Astronomy, and Cosmology 1
U14	4	PE-UHEI1-0001	Expansion example	rinaen nem an kel.	There is understanding in the words.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0002	Expansion example	rinaen nem an khumkel.	There is understanding in the council.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0005	Expansion example	rinaen rethnem an kel.	There is a misunderstanding in the words.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0006	Expansion example	rinaen rethnem ser Ilin.	There is a misunderstanding between us.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0007	Expansion example	rethnemaen Ya I.	You misunderstand me.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0008	Expansion example	rethnemaen lorvekral shara.	The operator misunderstands the route.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0018	Expansion example	rinaen zev an I.	I feel envy.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0019	Expansion example	rinaen zev an khumlor.	There is envy in the family circle.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0020	Expansion example	zevaen I karvek denya.	I envy that toolkit beside you.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-UHEI1-0022	Expansion example	rinaen fahohm an tharvok.	There is jealousy in the family.	Understanding, Helping, and Emotional Interiority 1
U14	4	PE-HLPS1-0001	Expansion example	rinaen hav an teremil.	There is laughter at home.	Humor, Laughter, and Playful Speech 1
U14	4	PE-HLPS1-0002	Expansion example	rinaen hav ser reth.	The laughter carries uncertainty.	Humor, Laughter, and Playful Speech 1
U14	4	PE-HLPS1-0003	Expansion example	havaen felka ser ser.	The child laughs with a friend.	Humor, Laughter, and Playful Speech 1
U14	4	PE-HLPS1-0004	Expansion example	havaen I ser reth.	I laugh in uncertainty.	Humor, Laughter, and Playful Speech 1
U14	4	PE-HLPS1-0007	Expansion example	rinaen dovhav an khumlor.	There is humor in the family circle.	Humor, Laughter, and Playful Speech 1
U14	4	PE-PSAC1-0001	Expansion example	rinaen aennor an welpralor.	There is music in the plaza.	Performance, Story Arts, and Celebration 1
U14	4	PE-PSAC1-0002	Expansion example	aenaen I aennor thal teremil.	I hear music behind the house.	Performance, Story Arts, and Celebration 1
U14	4	PE-PSAC1-0003	Expansion example	aennoraen aennorral an rimor.	The musician performs music at the festival.	Performance, Story Arts, and Celebration 1
U14	4	PE-PSAC1-0004	Expansion example	aennoraen I ser karthael.	I make music with a drum.	Performance, Story Arts, and Celebration 1
U14	4	PE-PSAC1-0005	Expansion example	aennoraen aennorral aennor.	The musician performs music.	Performance, Story Arts, and Celebration 1
U15	5	PE-V3-0022	Complex sentence example	I varin Aen Ya var dren.	I know that you go to the water.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0023	Complex sentence example	Ser Lior var dren.	The friend who goes to the water.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0024	Complex sentence example	Var I terra Ser Lior var dren.	I go home with the friend who goes to the water.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0025	Complex sentence example	I dren shaleth ther La dren.	My water is brighter than their water.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0026	Complex sentence example	I dren shaleth thaal.	My water is the brightest.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0027	Complex sentence example	I dren shaleth thaal morldren.	My water is the brightest of the mountain waters.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0028	Complex sentence example	Rath Ya var dren, Nor-var I shena.	If you go to the water, I will bring coinage.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0029	Complex sentence example	Rath Tha-var Ya dren, Tha-var I emil.	If you had gone to the water, I would have gotten food.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V4-0005	Subjunctive example	Vael vaar an shara-ya.	May peace be on your path.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U15	5	PE-V4-0006	Subjunctive example	Vael rinaen I an eshlin, varal I an esh.	If I were a bird, I would be going to the sky.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U15	5	PE-V4-0007	Subjunctive example	Vael aen Ya.	May you speak / Please speak.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U15	5	PE-V3-0111	Sample Sentence	Rath Nor-var ser, Nor-var kal Terra.	If the friend will go, I will find strength in the Earth.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V4-0012	Advanced pronoun example	Var Inko an Varthas.	We two are going to the city.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U15	5	PE-V4-0013	Advanced pronoun example	Ra aen Yako an I?	Are you two speaking to me?	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U15	5	PE-V4-0014	Advanced pronoun example	Velaen Ilin an morlak.	We [you and I] are eating the bread.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U15	5	PE-V4-0015	Advanced pronoun example	Arth Imen an kaleth. Var Ya.	We [the guards, not you] protect the fortress. You must go.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U15	5	PE-V3-0011	Discourse marker example	Lia, I var dren.	Yes, I go to the water.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0013	Discourse marker example	Rethlian, I nor var dren.	Maybe, I will go to the water.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0014	Discourse marker example	Lialor, serin vanesh shenakar.	Indeed, the friends trade coinage.	Volume 3: Culture, Context, and Advanced Expression
U15	5	PE-V3-0017	Discourse marker example	Lianlor, Ver var I dren.	Honestly, I do not go to the water.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0112	National sample phrase	Var serilín dren Theren.	Go, sister, to the village water.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0113	National sample phrase	Liorin aelin var tera emil.	The teacher leads the youth home for food.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0114	National sample phrase	Thar Terra var shal nor.	The heart of the Earth goes with light in time.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0118	National sample phrase	Varadan nor var vanesh ser.	The merchant will trade with you.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0121	National sample phrase	Nor-var I kareth var dreshal.	I will go use the tool and the crystal device.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0122	National sample phrase	Var dren shal ser aen.	Go to the water's light and speak.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0126	National sample phrase	Aelin liorin var emil eshvan.	The youth follows the teacher to the shop for food.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0127	National sample phrase	Va var dren ver?	Go find water or not?	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V4-0093	Comparative dialogue line	Ra min Ya, Ser?	Where are you headed, Friend?	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U16	5	PE-V4-0095	Comparative dialogue line	Lorin shara Ya an Kinnmor, Li-Ser?	Where does your path guide you this morning, Respected-Friend?	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U16	5	PE-V4-0097	Comparative dialogue line	Aen Ya varash, Ser.	State your destination, Friend.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U16	5	PE-V4-0099	Comparative dialogue line	Ra shalil Ya, Ser?	Where do you flow, Friend?	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U16	5	PE-V3-0070	Idiom/Proverb	Var Rathor ser Vethor.	History is complex, often holds darkness or mystery; the past is inescapable.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0072	Idiom/Proverb	Kal Belvok nor Rathor.	Family bonds are strengthened by remembering shared history/ancestors.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0075	Idiom/Proverb	Ver var Dren ka Shal.	Essential elements depend on each other; life requires multiple components.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0076	Idiom/Proverb	Aen Thar lian.	Trust your inner feelings; one's core nature reveals truth.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0087	National ceremonial example	Drenvokesh kal dren nor Belvok.	The water unity strengthens the family by the water.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0088	National ceremonial example	Eshlorien nor dren an Zhaelor.	The wave naming flows by the water in spring.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0089	National ceremonial example	Terrashaneth lian nor Tharvok.	The Earth blessing speaks to the family.	Volume 3: Culture, Context, and Advanced Expression
U16	5	PE-V3-0090	National ceremonial example	Velpralim shan dren an Zhirelorim.	The wisdom transfer passes to the coming-of-age ritual.	Volume 3: Culture, Context, and Advanced Expression
