entry_id,source_volume,source_section,page_number,topic,culture_or_context,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
CC-S1-0010,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Jasaran,5,Jasaran Euphony Preference,National cultural voice / euphony,"Approach: Balanced & Elegant. Brief: The Jasaran see balance in all things, including phonetics. Example Preference: Morlathar (correct), Krezathal (balanced), Belshara (standard).",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S2-0001,Supplement 2: Ohnosha Nations and Cultures 3.0,Document Overview,1,Ohnosha Nations and Cultures Source Framing,Supplemental world/culture canon,"This document provides an in-depth analysis of the 8 diverse nations of Ohnosha, focusing on their cultural identities, internal conflicts, and relationships with other nations.",Canon,"User-approved treatment: supplemental culture context, not a replacement for language volumes.",CC-V4-0009; CC-S1-0002,related usage,,Approved,
CC-S2-0002,Supplement 2: Ohnosha Nations and Cultures 3.0,Document Overview,1,Supplement 2 Language-Context Role,World context for national language nuance,"It explores each nation's government, societal structures, key spiritual and mystical practices, and how they interact with the broader world following the Day One event.",Canon,"Language implication metadata only: this source informs national voice, metaphor, ritual register, and cultural nuance. It does not create grammar rules by itself.",CC-V4-0009; PT-V4-0011; CC-S1-0002,expansion,PT-S2-0001,Needs Human Review,contextual meaning overlap
CC-S2-0003,Supplement 2: Ohnosha Nations and Cultures 3.0,Valkeldor Profile,1-6,Valkeldor: The Stronghold of Resilience and Tradition,Valkeldor culture/context,"Valkeldor stands as a testament to resilience, strength, and unyielding tradition.",Canon,Original wording excerpt preserved.,CC-S1-0005; CC-V4-0015; PT-S1-0006,related usage,PT-S2-0003,Approved,
CC-S2-0004,Supplement 2: Ohnosha Nations and Cultures 3.0,Valkeldor Profile > Language Nuance Implications,1-6,Valkeldor Language Nuance Context,Valkeldor national voice support,Strength Through Unity; Calm Confidence; Connection to the Land; martial discipline and community spirit.,Canon,"Language implication metadata only: supports direct, resilient, strength-oriented national voice and harder euphony preferences in Supplement 1.",CC-S1-0005; CC-V4-0015; PT-S1-0006,expansion,PT-S2-0003,Needs Human Review,contextual meaning overlap
CC-S2-0005,Supplement 2: Ohnosha Nations and Cultures 3.0,Nivveil Profile,7-10,Nivveil Cultural Profile,Nivveil culture/context,"In Nivveil, survival is a shared responsibility, and the strength of the community is paramount.",Canon,Original wording excerpt preserved.,CC-S1-0009; CC-V4-0016; PT-S1-0006,related usage,PT-S2-0005,Approved,
CC-S2-0006,Supplement 2: Ohnosha Nations and Cultures 3.0,Nivveil Profile > Language Nuance Implications,7-10,Nivveil Language Nuance Context,Nivveil national voice support,Heart of Terra; winter spirits; communal survival; internal harmony; preservation vs. progress.,Canon,"Language implication metadata only: supports sparse, patient, stoic, endurance-oriented national voice.",CC-S1-0009; CC-V4-0016; PT-S1-0006,expansion,PT-S2-0005,Needs Human Review,contextual meaning overlap
CC-S2-0007,Supplement 2: Ohnosha Nations and Cultures 3.0,Verdalris Profile,10-13,Verdalris: The Kingdom of Living Mysticism,Verdalris culture/context,"Verdalris is more than just a kingdom—it is an experience, a living dialogue between humankind and the natural world.",Canon,Original wording excerpt preserved.,CC-S1-0008; CC-V4-0012; PT-S1-0006,related usage,,Approved,
CC-S2-0008,Supplement 2: Ohnosha Nations and Cultures 3.0,Verdalris Profile > Language Nuance Implications,10-13,Verdalris Language Nuance Context,Verdalris national voice support,"Heart of Terra; rituals; music, dance, and storytelling; artisanship with magic; stewardship of nature.",Canon,"Language implication metadata only: supports lyrical, nature-rooted, poetic, harmony-seeking national voice and advanced euphony/vowel harmony.",CC-S1-0008; CC-V4-0012; PT-S1-0006,expansion,PT-S2-0001,Needs Human Review,contextual meaning overlap
CC-S2-0009,Supplement 2: Ohnosha Nations and Cultures 3.0,Mechuma Profile,13-18,Mechuma: The City of Innovation and Progress,Mechuma culture/context,Mechuma stands as a beacon of technological advancement and magical innovation.,Canon,Original wording excerpt preserved.,CC-S1-0004; CC-V4-0013; PT-S1-0006,related usage,PT-S2-0002; PT-S2-0005,Approved,
CC-S2-0010,Supplement 2: Ohnosha Nations and Cultures 3.0,Mechuma Profile > Language Nuance Implications,13-18,Mechuma Language Nuance Context,Mechuma national voice support,Grand Council; progress as evolution; harmony between magic and technology; innovation for survival.,Canon,"Language implication metadata only: supports precise, systematic, technical, purpose-driven national voice.",CC-S1-0004; CC-V4-0013; PT-S1-0006,expansion,PT-S2-0002; PT-S2-0005,Needs Human Review,contextual meaning overlap
CC-S2-0011,Supplement 2: Ohnosha Nations and Cultures 3.0,Marakor Profile,19-23,Marakor Cultural Profile,Marakor culture/context,"Marakor stands as a bastion of discipline, knowledge, and strength in Ohnosha.",Canon,Original wording excerpt preserved.,CC-S1-0006; CC-V4-0018; PT-S1-0006,related usage,,Approved,
CC-S2-0012,Supplement 2: Ohnosha Nations and Cultures 3.0,Marakor Profile > Language Nuance Implications,19-23,Marakor Language Nuance Context,Marakor national voice support,Discipline and strength; preservation of knowledge; order; tradition and innovation; centralized authority.,Canon,"Language implication metadata only: supports formal, disciplined, archaic, order-focused national voice.",CC-S1-0006; CC-V4-0018; PT-S1-0006,expansion,PT-S2-0001,Needs Human Review,contextual meaning overlap
CC-S2-0013,Supplement 2: Ohnosha Nations and Cultures 3.0,Pelagae Profile,23-28,Pelagae Cultural Profile,Pelagae culture/context,Pelagae stands as a beacon of harmony between nature and human ingenuity.,Canon,Original wording excerpt preserved.,CC-S1-0007; CC-V4-0014; PT-S1-0006,related usage,PT-S2-0004; PT-S2-0005,Approved,
CC-S2-0014,Supplement 2: Ohnosha Nations and Cultures 3.0,Pelagae Profile > Language Nuance Implications,23-28,Pelagae Language Nuance Context,Pelagae national voice support,Balance and Flow; ocean reverence; aquatic technology and magic; maritime identity; preservation vs. progress.,Canon,"Language implication metadata only: supports fluid, melodic, oceanic, flow-oriented national voice.",CC-S1-0007; CC-V4-0014; PT-S1-0006,expansion,PT-S2-0004; PT-S2-0005,Needs Human Review,contextual meaning overlap
CC-S2-0015,Supplement 2: Ohnosha Nations and Cultures 3.0,Jasara Profile,28-34,Jasara: The Desert Oasis Nurtured by Eshara,Jasara culture/context,Jasara thrives in the unforgiving desert through a deep respect for water and meticulous conservation practices.,Canon,Original wording excerpt preserved.,CC-S1-0010; CC-V4-0017; PT-S1-0006,related usage,PT-S2-0004,Approved,
CC-S2-0016,Supplement 2: Ohnosha Nations and Cultures 3.0,Jasara Profile > Language Nuance Implications,28-34,Jasara Language Nuance Context,Jasara national voice support,Spring of Life; Council of Elders; water as sacred gift; conservation; balance; control vs. liberty.,Canon,"Language implication metadata only: supports elegant, balanced, water-centered, formal national voice.",CC-S1-0010; CC-V4-0017; PT-S1-0006,expansion,PT-S2-0004,Needs Human Review,contextual meaning overlap
CC-S2-0017,Supplement 2: Ohnosha Nations and Cultures 3.0,Zarithan Profile,35-42,Zarithan: Embracing the Nomadic Spirit in a Shifting World,Zarithan culture/context,Zarithans live by ancient customs and survival skills.,Canon,Original wording excerpt preserved.,CC-S1-0003; CC-V4-0011; PT-S1-0006,related usage,PT-S2-0004,Approved,
CC-S2-0018,Supplement 2: Ohnosha Nations and Cultures 3.0,Zarithan Profile > Language Nuance Implications,35-42,Zarithan Language Nuance Context,Zarithan national voice support,Survival through freedom; path of sky and sand; adapt or perish; independence as sacred; nomadic spirituality.,Canon,"Language implication metadata only: supports pragmatic, direct, survival-oriented, guttural national voice.",CC-S1-0003; CC-V4-0011; PT-S1-0006,expansion,PT-S2-0004,Needs Human Review,contextual meaning overlap
CC-S2-0019,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Jasara,43,Jasara Occupation Context,Jasara occupations / cultural roles,"A society rooted in desert elegance, storytelling, and opulence. Water Steward; Storykeeper; Textile Artisan; Spice Merchant; Council Elder.",Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0018,related usage,,Approved,
CC-S2-0020,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Zarithan,43,Zarithan Occupation Context,Zarithan occupations / cultural roles,"Nomadic and resourceful, living in harmony with the harsh desert. Pathfinder; Tinker; Herbalist; Sand Shepherd; Cultural Guide.",Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0018,related usage,,Approved,
CC-S2-0021,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Valkeldor,43-44,Valkeldor Occupation Context,Valkeldor occupations / cultural roles,Futuristic-bohemian with a focus on resilience and Afro-futurism. Tech-Tailor; Energy Architect; Cultural Vanguard; Combat Innovator; Mountaineer Courier.,Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0004,related usage,,Approved,
CC-S2-0022,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Verdalris,44,Verdalris Occupation Context,Verdalris occupations / cultural roles,"Nature-bound and mystical, with a focus on harmony and magic. Forest Alchemist; Tree Shaper; Mystic Weaver; Guardian of the Glade; Songkeeper.",Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0008,related usage,,Approved,
CC-S2-0023,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Nivveil,44,Nivveil Occupation Context,Nivveil occupations / cultural roles,"Resilient and elegant, thriving in icy, challenging terrains. Ice Sculptor; Frostbinder; Snow Forager; Clothier of the Furred; Aurora Guide.",Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0006,related usage,,Approved,
CC-S2-0024,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Pelagae,44-45,Pelagae Occupation Context,Pelagae occupations / cultural roles,"Ethereal and underwater, blending bioluminescence with aquatic mysticism. Light Artisan; Wavecaller; Hydro-engineer; Current Weaver; Pearl Forager.",Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0016,related usage,,Approved,
CC-S2-0025,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Mechuma,45,Mechuma Occupation Context,Mechuma occupations / cultural roles,"Advanced and harmonious, blending technology and magic seamlessly. H.A.R.T. Engineer; Fusion Crafter; Tech Orator; Energy Artisan; City Synthesist.",Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0012,related usage,,Approved,
CC-S2-0026,Supplement 2: Ohnosha Nations and Cultures 3.0,Top 5 Jobs in each nation > Marakor,45,Marakor Occupation Context,Marakor occupations / cultural roles,"Structured and disciplined, with an emphasis on order and refinement. Ceremonial Smith; Code Enforcer; Ritual Planner; Philosopher-Scholar; Battle Strategist.",Canon,Job titles preserved as culture/context only; not converted to Celan lexicon rows. Later lexicon extraction would require Celan terms or explicit user approval.,CC-S2-0014,related usage,,Approved,
CC-S3-0001,Supplement 3: The Conceptual Lexicon,Introduction: The Soul of the Roots,1,The Soul of the Roots,Conceptual lexicon source framing,"This lexicon is the highest authority on the metaphorical, philosophical, and connotative meaning of Celan's core concepts. It serves as the primary reference for all advanced linguistic analysis and transcreation.",Canon,Preserved as Supplement 3 source framing. It does not overwrite prior entries; it adds conceptual interpretation metadata.,RM-S3-0001; RM-S3-0027,expansion,PT-S3-0001,Needs Human Review,source authority framing
CC-S3-0002,Supplement 3: The Conceptual Lexicon,"Part 2: The Elemental Pillars > Clarification on Terra vs. Ohnosha",5-6,Terra / terra / Ohnosha clarification,World-name and capitalization context,"Ohnosha is the current world name. The word Terra is the Celan world term, carrying deeper philosophical meaning.",Canon,Current naming applied: Ohnosha is the current world name; Terra is the Celan world/sacred term; terra is physical land/ground.,LX-V2-0001; LX-V2-0073; LX-V4-0108; RM-S3-0007; PT-S1-0002,source ambiguity,PT-S3-0002; PT-S3-0003,Source Ambiguity,legacy naming clarification
CC-S3-0003,Supplement 3: The Conceptual Lexicon,"Part 2: The Elemental Pillars > Clarification on Terra vs. Ohnosha > Why This Matters for the App",6,Translation context for Terra,Translation/context guidance,The AI must understand this distinction to translate correctly.,Canon,"Preserves source translation guidance, with current project naming policy applied only in notes and tension tracking.",CC-S3-0002; LX-V4-0108,related usage,PT-S3-0003,Needs Human Review,source ambiguity
CC-S3-0004,Supplement 3: The Conceptual Lexicon,Part 3: The Metaphysical Concepts > Entry 3.5: The Root Rin- (Essence),9,Rin and identity basis,Identity/cultural metaphysics,"The concept of identity (Kadren, Azan, Thee) is based on one's Rin, not their body.",Canon,Important context for earlier gendered/neutral identity terms. Preserved as refinement; no identity rows changed.,RM-S3-0012; CC-V1-0003; CC-V1-0004,refinement,PT-S3-0004,Needs Human Review,identity concept refinement
CC-S4A-0001,Supplement 4A: VSO Cultural Notes,The Heart of Action: How Celan's VSO Structure Reflects Ohnoshan Worldview,text,The Heart of Action,VSO cultural philosophy,"The grammatical structure of a language is more than a set of rules; it is often a subtle mirror reflecting the core values, perspectives, and ways of being of its speakers.",Canon,"Supplement 4A frames VSO as action-first, relational, and worldview-reflective.",GR-S4A-0001; GR-V1-0004; CC-V4-0008,refinement,PT-S4A-0001,Approved,
CC-S4A-0002,Supplement 4A: VSO Cultural Notes,"De-emphasizing the ""Self"" as the Sole Initiator",text,Participant self in unfolding action,Ohnoshan worldview / syntax,"While the subject is crucial in Celan, its placement after the verb suggests that the individual is often perceived as a participant within an unfolding action or state, rather than always being the primary, standalone initiator.",Canon,Cultural interpretation preserved as supplement text.,CC-V1-0003; RM-S3-0016; RM-S3-0023,refinement,PT-S4A-0001,Approved,
CC-S4A-0003,Supplement 4A: VSO Cultural Notes,Conclusion: Celan as a Reflection of Ohnosha,text,Meaning found first in the verb,Ohnoshan worldview / syntax,"It underscores that in Ohnosha, meaning is often found first in the verb – in the doing, the being, and the becoming.",Canon,Conclusion preserved as cultural syntax philosophy.,GR-S4A-0001; RM-S3-0018,refinement,PT-S4A-0001,Approved,
CC-S4B-0001,Supplement 4B: Celan Capitalization Rules,The Rules of Celan Capitalization,text,Capitalization as semantic weight,Orthography philosophy,"In Celan, capitalization is not used for the beginning of sentences or for all proper nouns as it is in English. Instead, it is used semantically to denote concepts of primacy, sanctity, or archetypal significance.",Canon,Supplemental orthography philosophy. Existing source capitalization preserved; not applied retroactively.,GR-S4B-0001; GR-S4B-0002; GR-S4B-0003; GR-S4B-0004; GR-S4B-0005,expansion,PT-S4B-0001,Needs Human Review,orthography overlap
