form,entry_type,expanded_status,source_status,source_entry_type,source_refs,core_meaning,attested_evidence,promotion_reason,canon_confidence,notes
MAV,root,created_root,user_approved_expansion,Primitive root,LX-DSL1-0045; LX-DSL1-0038,Bodily illness; disturbed health,Mav; Maveth,Approved as a high-frequency primitive with an independently lexicalized noun and the listed adjective.,high,Domestic and Sensory Life 1; no unlisted derivatives authorized.
SOV,root,created_root,user_approved_expansion,Primitive root,LX-FAP1-0006; LX-FAP1-0007; LX-FAP1-0008; LX-FAP1-0009,Bounded cultivated plot,Sov; Brossov; Verdsov; Vilorsov,Approved to distinguish managed growing plots from uncultivated ground and generic place.,high,Food Agriculture and Preservation 1; only listed derivatives authorized.
GAV,root,created_root,user_approved_expansion,Primitive root,LX-FAP1-0011; LX-FAP1-0012; LX-FAP1-0031,Purposeful pursuit of living quarry,Gav; Gavaen; Gavral,Approved because following concealment and hostility do not independently express a hunt or hunting.,high,Food Agriculture and Preservation 1; independent noun and only listed derivatives authorized.
NESH,root,created_root,user_approved_expansion,Primitive root,LX-FAP1-0013; LX-FAP1-0014; LX-FAP1-0015; LX-FAP1-0016,Aquatic animal life; unmarked fish,Nesh; Neshbrenaen; Neshbrenral; Xarnesh,Approved to distinguish aquatic creatures from water environments named species and prepared fish.,high,Food Agriculture and Preservation 1; only listed derivatives authorized.
ZOR,root,created_root,user_approved_expansion,Primitive root,LX-FAP1-0018; LX-FAP1-0019; LX-FAP1-0020; LX-FAP1-0021; LX-FAP1-0022; LX-FAP1-0023; LX-FAP1-0027,Animal or beast as a general living category,Zor; Belzor; Belzoraen; Belzorral; Zordren; Zordrenvinaen; Zornelar,Approved to supply the missing general animal category independently of meat hide role or species.,high,Food Agriculture and Preservation 1; only listed derivatives authorized.
NELAR,root,created_root,user_approved_expansion,Primitive root,LX-FAP1-0026; LX-FAP1-0027,Naturally produced sweet plant liquid; nectar,Nelar; Zornelar,Approved to distinguish nectar from fruit dried sweetness flavor and honey.,high,Food Agriculture and Preservation 1; only listed derivative authorized.
SAREN,root,created_root,user_approved_expansion,Primitive root,LX-FAP2-0001,Wheat,Saren,Approved as a recurring staple species distinct from grain as a general class.,high,Food Agriculture and Preservation 2; no unlisted derivatives authorized.
OLAN,root,created_root,user_approved_expansion,Primitive root,LX-FAP2-0004; LX-FAP2-0005; LX-FAP2-0006; LX-FAP2-0014,Oil as a broad material class,Olan; Emilolan; Morolan; Olankrezaen,Approved because water sap preservation and manufacture do not define oil across sources.,high,Food Agriculture and Preservation 2; only listed derivatives authorized.
MURA,root,created_root,user_approved_expansion,Primitive root,LX-FAP2-0021; LX-FAP2-0022,Smoke as a physical combustion product,Mura; Muraen,Approved to distinguish combustion smoke from fire air fog darkness and atmospheric envelopment.,high,Food Agriculture and Preservation 2; only listed derivative authorized.
RUVAN,root,created_root,user_approved_expansion,Primitive root,LX-FAP2-0027; LX-FAP2-0028; LX-FAP2-0029,Uncontrolled organic decay; rot,Ruvan; Ruvanaen; Ruvaneth,Approved to name organic decay as a positive physical process rather than absence of preservation.,high,Food Agriculture and Preservation 2; only listed derivatives authorized.
REMA,root,created_root,user_approved_expansion,Primitive root,LX-CWM1-0008; LX-CWM1-0009; LX-CWM1-0017,The visible face; social and sensory front of the head,Rema; Remaxar; Remashalxar,Approved because head and individual facial-feature terms do not name the visible face as a whole.,high,Clothing Wearable Protection and Ordinary Materials 1; only listed derivatives authorized.
SURA,root,created_root,user_approved_expansion,Primitive root,LX-CWM1-0020; LX-CWM1-0021,Animal hair or fur as a natural covering and workable material,Sura; Belsura,Approved because hide leather fiber and softness do not independently express fur or textile-ready wool.,high,Clothing Wearable Protection and Ordinary Materials 1; only listed derivative authorized.
SADAR,root,created_root,user_approved_expansion,Primitive root,LX-CWM2-0004; LX-CWM2-0005,Loose granular mineral material; sand,Sadar; Sadarmorl,Approved because small matter fragments soil and stone do not preserve the characteristic material behavior of sand.,high,Clothing Wearable Protection and Ordinary Materials 2; only listed derivative authorized.
ERAN,root,created_root,user_approved_expansion,Primitive root,LX-CWM2-0006,Iron as a specific elemental metal,Eran,Approved because generic metal strength copper and stone do not distinguish iron as a specific material.,high,Clothing Wearable Protection and Ordinary Materials 2; no unlisted derivatives authorized.
OSAR,root,created_root,user_approved_expansion,Primitive root,LX-CWM2-0007,Bone as skeletal tissue and workable material,Osar,Approved because animal hide stone and strength do not express bone's biological and material identity.,high,Clothing Wearable Protection and Ordinary Materials 2; no unlisted derivatives authorized.
DRESH,root,promoted_root,user_approved_expansion,Attested lexical stem and approved Noun,PE-V3-0121; PE-V3-0140; LX-CWM2-0008,Crystal as an ordered mineral material,Dresh; Dreshal,Promoted from the attested crystal-device form Dreshal and explicitly approved as an independent material noun.,high,Clothing Wearable Protection and Ordinary Materials 2; Dreshal preserved and no unlisted derivatives authorized.
HIR,root,created_root,user_approved_expansion,Primitive root,LX-CWM2-0013; LX-CWM2-0014; LX-CWM2-0015,Visible color or hue,Hir; Hirmor; Hiraen,Approved because light clarity essence and individual color adjectives do not provide a general color and colorant system.,high,Clothing Wearable Protection and Ordinary Materials 2; only listed derivatives authorized.
NDARA,root,created_root,user_approved_expansion,Primitive root,LX-BSPI1-0002,Wall; an upright structural surface that encloses divides or supports built space,Ndara,Approved because cover defense stone and binding do not independently name an ordinary upright structural divider.,high,Built Spaces and Public Infrastructure 1; initial n and d are both articulated and no unlisted derivatives are authorized.
NJOR,root,created_root,user_approved_expansion,Primitive root,LX-BSPI1-0022; LX-BSPI1-0035,Bridge or structural crossing span,Njor; Dronjor,Approved because passage roots do not name the load-bearing structure that carries passage across a gap.,high,Built Spaces and Public Infrastructure 1; initial n and j are both articulated and only the listed derivative is authorized.
NDAVI,root,created_root,user_approved_expansion,Primitive root,LX-BSPI1-0010; LX-BSPI1-0029; LX-BSPI1-0040,Fixed vertical level or height position,Ndavi; Ndavior; Ndavivek,Approved because above and below do not provide a fixed countable elevation used by buildings and lifts.,high,Built Spaces and Public Infrastructure 1; initial n and d are both articulated and only the listed derivatives are authorized.
NGAR,root,created_root,user_approved_expansion,Primitive root,LX-DW1-0001; LX-DW1-0002; LX-DW1-0003; LX-DW1-0007; LX-DW1-0008; LX-DW1-0009; LX-OC1-0002; LX-OC1-0008,Weapon or purpose-built harmful implement,Ngar; Ngarpel; Ngarzhir; Ngarjor; Ngarzhel; Ngarvek; Ngarwel; Ngarjoraen,Approved because tool blade force attack and protection vocabulary do not provide a general category for purpose-built weapons.,high,Defense and Weapons 1 plus Organized Conflict 1; initial n and g are both articulated and only the listed derivatives are authorized.
DUMA,root,created_root,user_approved_expansion,Primitive root,LX-SBD1-0007; LX-SBD1-0008; LX-SBD1-0009,Death; irreversible end of bodily life,Duma; Dumaen; Dumeth,Approved because absence sleep darkness injury destruction and metaphysical un-making do not independently name ordinary irreversible bodily death.,high,Sex Birth and Death 1; only the listed noun verb and adjective are authorized.
DOV,root,created_root,user_approved_expansion,Primitive root,LX-RC1-0001; LX-RC1-0002; LX-RC1-0003; LX-RC1-0004; LX-RC1-0005,Voluntary play; recreation undertaken for enjoyment,Dov; Dovaen; Dovath; Dovin; Kaldov,Approved because joy leisure work training and competition do not independently name voluntary enjoyable activity.,high,Recreation and Competition 1; only the listed derivatives are authorized.
NAK,root,created_root,user_approved_expansion,Primitive root,LX-RC1-0006; LX-RC1-0007; LX-RC1-0008; LX-RC1-0010; LX-RC1-0011; LX-RC1-0012; LX-RC1-0013; LX-RC1-0014; LX-RC1-0015; LX-RC1-0016; LX-RC1-0017; LX-RC1-0018; LX-RC1-0019; LX-RC1-0020,Competition; organized striving whose outcomes are compared,Nak; Nakaen; Nakin; Thalnakin; Nakshara; Naklorral; Naktal; Shalnak; Shalnakaen; Vethnak; Vethnakaen; Thalnak; Jornak; Jornakaen,Approved because attempt dispute conflict battle and comparison do not independently name organized non-necessarily-hostile competition.,high,Recreation and Competition 1; only the listed derivatives are authorized.
RIM,root,promoted_root,latent_source_root,Latent root promoted from established compound,LX-V2-0110; LX-V2-0153; LX-PSAC1-0024; LX-PSAC1-0025; LX-PSAC1-0026,Celebration; festive shared observance,Welrim; Rim; Rimaen; Rimor,Promoted because Welrim already establishes celebration within shared feasting and the approved family separates general celebration from food-centered feast.,high,Performance Story Arts and Celebration 1; Welrim remains feast and only the listed promoted forms are authorized.
NDEM,root,created_root,user_approved_expansion,Primitive root,LX-HTS1-0001; LX-HTS1-0002,Blood; circulating bodily fluid associated with life injury and internal transport,Ndem; Ndemaen,Approved because water liquid matter and life roots do not independently name ordinary anatomical blood without distortion.,high,Health Treatment and Survival 1; initial n and d are both articulated and only the listed noun and verb are authorized.
SAVA,root,created_root,user_approved_expansion,Primitive root,LX-HTS1-0007; LX-HTS1-0008; LX-HTS1-0009; LX-HTS1-0010,Ordinary health care or treatment for sickness or injury,Sava; Savaen; Savin; Savor,Approved because Tal plus Zhael provides useful clinical precision but is unnecessarily formal for frequent household and conversational care while Phel and Nku are semantically narrower.,high,Health Treatment and Survival 1; only the listed common-register forms are authorized.
MBU,root,created_root,user_approved_expansion,Primitive root,LX-EGE1-0041,Fungus or fungal life distinct from plants and animals,Mbu,Approved because Verd would misclassify fungi as plants while Ruvan would define all fungi through rot or harm.,high,Environment Geography and Ecology 1; initial m and b are both articulated and no unlisted derivatives are authorized.
NALI,root,created_root,user_approved_expansion,Primitive root,LX-EGE1-0043; LX-EGE1-0044; LX-EGE1-0046; LX-EGE1-0047; LX-EGE1-0048; LX-EGE1-0049; LX-EGE1-0050; LX-EGE1-0051,Species; a recognized biological kind or lineage extending across organisms and generations,Nali; Nalior; Welnali; Kornali; Shannali; Rathshannali; Dumanali; Rathnali,Approved because Zor excludes plants and fungi Verd excludes animals and Wel supplies collectivity without biological identity.,high,Environment Geography and Ecology 1; only the explicitly approved forms are authorized.
GORM,root,promoted_root,latent_source_root,Latent root promoted from established derivative,LX-V4-0021; LX-EGE1-0061; LX-EGE1-0062,Dirt grime or unwanted soiling matter,Gormeth; Gorm; Welgorm,Promoted because the source explicitly analyzes Gormeth through Gorm grime and the approved noun makes that base visible without adding an unrelated sense.,high,Environment Geography and Ecology 1; only Gorm and Welgorm are newly authorized and Gormeth remains unchanged.
SUL,root,created_root,user_approved_expansion,Primitive root,LX-EGE1-0067; LX-EGE1-0068; LX-EGE1-0069; LX-EGE1-0070; LX-EGE1-0071; LX-EGE1-0072,Resource; a usable supply substance energy source or environmental provision available to meet a need,Sul; Worsul; Kasul; Kavsul; Weksul; Versul,Approved because possession allocation abundance and particular materials do not independently name a universally usable supply across environmental civic and household domains.,high,Environment Geography and Ecology 1; only the explicitly approved forms are authorized.
DAVA,root,created_root,user_approved_expansion,Primitive root,LX-ICAES1-0001; LX-ICAES1-0002; LX-ICAES1-0003; LX-ICAES1-0004; LX-ICAES1-0005; LX-ICAES1-0006; LX-ICAES1-0007; LX-ICAES1-0021; LX-ICAES1-0022; LX-ICAES1-0023; LX-ICAES1-0024; LX-ICAES1-0025; LX-ICAES1-0026; LX-ICAES1-0027; LX-ICAES1-0032; LX-ICAES1-0033; LX-ICAES1-0034; LX-ICAES1-0035; LX-ICAES1-0057,Information; meaningful content capable of being known communicated represented or stored,Dava; Shendava; Kavdava; Davaxar; Beldava; Davapral; Zheldava; Davashanaen; Deldavaen; Andavaen; Thaldavaen; Kavdavaen; Kavdeldava; Kesdavaen; Rethdava; Xardava; Xardavaen; Kaxardavaen; Rethzheldava,Approved because speech text truth wisdom memory measurement and records do not independently name neutral meaningful content across spoken sensed encoded stored and transmitted forms.,high,Information Computation Automation and Electrical Systems 1; only the explicitly approved forms are authorized.
RAKU,root,created_root,user_approved_expansion,Primitive root,LX-ICAES1-0011; LX-ICAES1-0012; LX-ICAES1-0013; LX-ICAES1-0014; LX-ICAES1-0015; LX-ICAES1-0016; LX-ICAES1-0017; LX-ICAES1-0018; LX-ICAES1-0019; LX-ICAES1-0020,Computation; rule-governed transformation or evaluation of numbers symbols states or information,Raku; Rakuaen; Rakumek; Rakufelmek; Rakushara; Rakukel; Belraku; Varokraku; Varokrakuaen; Varokrakueth,Approved because measurement command recurring process and general machine vocabulary do not independently name defined operations over representations or measurable states.,high,Information Computation Automation and Electrical Systems 1; only the explicitly approved forms are authorized.
SONGA,root,created_root,user_approved_expansion,Primitive root,LX-SAC1-0001; LX-SAC1-0002; LX-SAC1-0003; LX-SAC1-0027,Universe or cosmos; the total physical expanse and its contents,Songa; Songaeth; Songazun; Songashen,Approved because Dral heaven or sky Esh air or sky Terra living world and Mor matter do not independently name the total physical universe.,high,Science Astronomy and Cosmology 1; only the explicitly approved forms are authorized.
NYEL,root,created_root,user_approved_expansion,Primitive root,LX-SAC1-0005; LX-SAC1-0006; LX-SAC1-0007; LX-SAC1-0011; LX-SAC1-0012; LX-SAC1-0013; LX-SAC1-0020,Star; an individual self-luminous celestial body,Nyel; Nyeleth; Kreznyel; Nyelbel; Wornyelbel; Nyelzhir; Zhirnyel,Approved because light fire and heaven do not independently name an individual star and forcing the whole family through Dral would overload the sky root.,high,Science Astronomy and Cosmology 1; only the explicitly approved forms are authorized.
VORA,root,created_root,user_approved_expansion,Primitive root,LX-SAC1-0008; LX-SAC1-0009; LX-SAC1-0019,Planet; a large rounded non-stellar body orbiting a star,Vora; Voraeth; Felvora,Approved because Terra is sacred and world-specific Mor is generic matter and Dral locates without distinguishing a planet.,high,Science Astronomy and Cosmology 1; only the explicitly approved forms are authorized.
ARU,root,created_root,user_approved_expansion,Primitive root,LX-GMMP1-0001; LX-GMMP1-0002; LX-GMMP1-0003; LX-GMMP1-0004; LX-GMMP1-0005; LX-GMMP1-0006; LX-GMMP1-0007; LX-GMMP1-0008; LX-GMMP1-0009; LX-GMMP1-0010; LX-GMMP1-0017; LX-GMMP1-0022,Magic; intentional relationship or practice producing effects beyond ordinary causation,Aru; Arueth; Kaarueth; Aruaen; Arural; Rinaru; Kalaru; Esharu; Arukel; Arukelaen; Kaaruaen; Mekaru,Approved because Terra Zhel Ohm Rin Thaen Khumeth and Kal each describe only a source method domain or ordinary force rather than magic generally.,high,General Magic and Metaphysical Practice 1; only the explicitly approved forms are authorized.
NAKU,root,created_root,user_approved_expansion,Primitive root,LX-SRD1-0001,Left-side relation within an oriented frame,Naku,Approved because front back above below hand path and guidance roots cannot select a lateral side without distortion or cultural overloading.,high,Spatial Reference and Deixis 1; no unlisted derivatives are authorized.
SORA,root,created_root,user_approved_expansion,Primitive root,LX-SRD1-0002,Right-side relation within an oriented frame,Sora,Approved because front back above below hand path and guidance roots cannot select a lateral side without distortion or cultural overloading.,high,Spatial Reference and Deixis 1; no unlisted derivatives are authorized.
DEN,morpheme,created_morpheme,user_approved_expansion,Bound grammatical primitive,LX-SRD1-0004; LX-SRD1-0005; LX-SRD1-0006,Deictic reference anchored to a speech participant,Deni; Denya; Denla,Approved because I Ya and La provide participant anchors but no established element turns them into demonstratives while Kes Pel Nor and Lor would distort the grammatical function.,high,Spatial Reference and Deixis 1; not an independent headword and no unlisted forms are authorized.
HAV,root,created_root,user_approved_expansion,Primitive root,LX-HLPS1-0001; LX-HLPS1-0002; LX-HLPS1-0003; LX-HLPS1-0004; LX-HLPS1-0008; LX-HLPS1-0009; LX-HLPS1-0010; LX-HLPS1-0011,Laughter; embodied amused tense relieved embarrassed disbelieving or socially responsive release,Hav; Havaen; Haveth; Dovhav; Pralhav; Dovhavral; Havrath; Havrathaen,Approved because Vial joy Dov play Aen sound Jor burst Phel comfort Thael rhythm and Zhael opening each omit or morally distort laughter as an embodied response.,high,Humor Laughter and Playful Speech 1; only the explicitly approved forms are authorized.
NEM,root,created_root,user_approved_expansion,Primitive root,LX-UHEI1-0001; LX-UHEI1-0002; LX-UHEI1-0003; LX-UHEI1-0004; LX-UHEI1-0005; LX-UHEI1-0006,Understanding or comprehension; coherent mental grasp,Nem; Nemaen; Rethnem; Rethnemaen; Kelnemaen; Selnemaen,Approved because Khum hearing-centered knowing Kes noticing Sel clarity Lian truth and Vel wisdom do not independently name general comprehension across sensory practical and abstract domains.,high,Understanding Helping and Emotional Interiority 1; only the explicitly approved forms are authorized.
ZEV,root,created_root,user_approved_expansion,Primitive root,LX-UHEI1-0008; LX-UHEI1-0009,Envy; painful comparative desire for what another has,Zev; Zevaen,Approved because Rav and Thera lack comparison Fah belongs to relational jealousy and Shen would wrongly limit envy to measured material shares.,high,Understanding Helping and Emotional Interiority 1; only the explicitly approved forms are authorized.
MIRA,root,created_root,user_approved_expansion,Primitive root,LX-UHEI1-0012; LX-UHEI1-0013,Embarrassment; immediate self-conscious social discomfort,Mira; Miraen,Approved because Veth'tharaen is heavier shame or guilt Hav is only a possible response and Reth lacks social exposure while an unattested face-shadow metaphor would be speculative.,high,Understanding Helping and Emotional Interiority 1; only the explicitly approved forms are authorized.
DAKU,root,created_root,user_approved_expansion,Primitive root,LX-UHEI1-0014; LX-UHEI1-0015,Boredom; aversive or restless under-engagement,Daku; Dakuaen,Approved because Neth rest and Vaar calm are not inherently unpleasant while absence of play work or novelty names only possible causes.,high,Understanding Helping and Emotional Interiority 1; only the explicitly approved forms are authorized.
DORAN,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0001,Torso or trunk as a bodily region,Doran,Approved because Mor matter and Rin center are too broad while Kal frame would impose a structural metaphor on an ordinary body region.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
BREKA,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0002,Chest as a bodily region,Breka,Approved because Thar heart is only one structure within the chest and cannot naturally name the entire region.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
VESH,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0003,Back as a bodily surface,Vesh,Approved because Vethvar means positional behind rather than the rear surface of a body.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
DAVEL,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0004,Belly or abdomen as a bodily region,Davel,Approved because Emil digestion is too narrow and existing center or vessel roots would impose an unnecessary theory on the whole region.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
GORA,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0006; LX-BIAOBF1-0007; LX-BIAOBF1-0008; LX-BIAOBF1-0011; LX-BIAOBF1-0012,Bodily joint or articulated joining point,Gora; Kalvargora; Koringora; Sharvargora; Morlkagora,Approved because existing joining bending and structural roots each capture only part of the ordinary anatomical category while Gora supports a coherent productive family.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
PIR,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0009; LX-BIAOBF1-0013,Articulated bodily digit,Pir; Morlkapir,Approved because Korin hand and Morlka foot name whole extremities rather than their digits; the root supports finger and toe without unrelated senses.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
METHA,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0014; LX-BIAOBF1-0015; LX-BIAOBF1-0016,Living flesh or soft bodily tissue,Xarmetha; Metha; Kalmetha,Approved because Torin meat is food-facing and Mor matter is too general; Metha supports a coherent living-tissue family.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
ZEK,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0017,Tooth,Zek,Approved because Osar bone is anatomically inaccurate and because smile grin and bite may later relate historically or derivationally but are not automatic senses of tooth.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
LERA,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0018,Tongue,Lera,Approved because taste and speech roots describe only some functions and cannot name the organ itself.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
TASH,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0020; LX-BIAOBF1-0022; LX-BIAOBF1-0025,Internal bodily organ with a characteristic function,Tash; Aentash; Emiltash,Approved because Vek vessel Rin center and Shalrin mechanism each impose narrower shapes or theories while a general organ category is productively required.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
KHELU,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0021,Brain,Khelu,Approved because Nem mind Kes perception Sel memory and Esh control describe partial functions rather than the physical organ.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
LUMAR,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0023,Liver,Lumar,Approved because a function-based compound would prematurely encode a medical theory rather than supply the needed organ name.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
KEDIR,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0024,Kidney,Kedir,Approved because waste and filtering compounds would prematurely encode only part of the organ's function and could misclassify it.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
LESH,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0028,Nerve or bodily signal pathway,Lesh,Approved because Zhir thread Kes sensation Aiv pain and Kal strength each capture only one analogy or effect rather than the anatomical structure.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved form is authorized.
KHOS,root,created_root,user_approved_expansion,Primitive sound-symbolic root,LX-BIAOBF1-0030; LX-BIAOBF1-0031,Cough as an abrupt bodily event,Khos; Khosaen,Approved as a compact sound-symbolic reflex root because a long breath-force construction would be cumbersome in frequent ordinary speech.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
ZER,root,created_root,user_approved_expansion,Primitive sound-symbolic root,LX-BIAOBF1-0032; LX-BIAOBF1-0033,Sneeze as an abrupt bodily event,Zer; Zeraen,Approved as a compact sound-symbolic reflex root because a long breath-force construction would be cumbersome in frequent ordinary speech.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
SUV,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0034; LX-BIAOBF1-0035,Sweat or perspiration,Suv; Suvaen,Approved because Dren liquid is generic and does not identify this specific ordinary bodily secretion.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
NAR,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0036; LX-BIAOBF1-0037,Nausea and the associated emetic event,Nar; Naraen,Approved because Mav illness and Tham breakdown are broader states while frequent bodily speech needs a compact nausea-emesis family.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
UREN,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0027; LX-BIAOBF1-0038; LX-BIAOBF1-0039,Urine and urination,Uren; Urenvek; Urenaen,Approved because Dren liquid is generic and Versul waste is too broad to name this specific substance function and organ family.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
FEK,root,created_root,user_approved_expansion,Primitive root,LX-BIAOBF1-0040; LX-BIAOBF1-0041,Feces and defecation,Fek; Fekaen,Approved because Versul waste is too broad while food rot and earth roots would impose inaccurate associations on a specific bodily substance and function.,high,Body Internal Anatomy and Ordinary Bodily Functions 1; only the explicitly approved forms are authorized.
NOKA,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0001; LX-RABFE2-0002,External vulval anatomy,Noka; Nokashan,Approved because Tlamor names sexual activity Xarmetha names skin generally and Azan names feminine essence rather than anatomy; Noka also supports the accurate vagina passage compound.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved forms are authorized.
KIRI,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0003,Clitoris,Kiri,Approved because Jor would define the structure only through response and Kor would identify only a focal relation rather than the anatomy itself.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved form is authorized.
MARA,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0004; LX-RABFE2-0005,Uterus,Mara; Marasorl,Approved because Vek would portray the uterus only as a container and Tash would merely say organ; Mara supports the anatomically grounded cervix compound with Sorl neck.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved forms are authorized.
SEKI,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0006,Ovary,Seki,Approved because no existing root distinguishes ovary ovum or gonad and Bal plant growth or seed would impose an inaccurate seed analogy.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved form is authorized.
TAVA,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0007,Penis,Tava,Approved because Shan can name the urethral passage but not the entire organ Kadren names masculine essence rather than anatomy and Mor does not mean bodily member.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved form is authorized.
NDERU,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0008; LX-RABFE2-0009,Testicle,Nderu; Nderuxar,Approved because Balvek is specifically plant seed and a testicle is neither a seed vessel nor bone; the root supports the accurate scrotum covering compound.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved forms are authorized.
FENA,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0011,Anus or external anal opening,Fena,Approved because Fekshan would collapse anus rectum and intestinal passage while Fekor could denote a place for feces rather than the body structure.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved form is authorized.
LEYA,root,created_root,user_approved_expansion,Primitive root,LX-RABFE2-0012; LX-RABFE2-0013; LX-RABFE2-0014; LX-RABFE2-0015,Sexual physiological arousal,Leya; Leyaen; Leyajor; Leyajoraen,Approved because Thera names psychological longing Tlamor names sexual activity and Jor alone is a general surge; the family distinguishes arousal and orgasm without treating bodily response as consent.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved forms are authorized.
RUMA,root,created_root,user_approved_expansion,Primitive root with historical phonological relation,LX-RABFE2-0020,Human or person hair,Ruma,Approved because Sura is explicitly animal hair or fur; the related sound preserves a plausible historical relationship without silently extending Sura or making Ruma a transparent compound.,high,Reproductive Anatomy Bodily Fluids and Extremities 2; only the explicitly approved form is authorized.
