headword,pronunciation,approval_batch,use_type,root_word,meaning,usage_note,derivation,origin_nation,national_usage,variant_forms,variant_pronunciations,related_words,example_celan,example_translation,source_entry_ids
Drenkorath,/drehnkoh-rahth/,,Noun,KOR; ATH; DREN,Sacred spring,,,,,,,Kor; Athnor; Dren; Aivkor; Dovath; Dren-; Belkor; Felath; Drenaen; Belkoraen; Kalorinath; Drenalor; Drenkor; Krezmorath; Drenartheth; Ekor; Serathrin; Drenesh; Jelkor; Sivathaen; Dreneth; Korin; Zhirath; Drenfel; Korkalvar; Drenfellak; Kormek; Drenjor; Kormor; Drenkavvek; Kornali; Korpir; Drenlivar; Korsharvar; Drenpralaen; Korwek; Drenrek; Shalkor; Drenselaen; Vorkor; Drenshal; Zhelkor; Drentalaen; Zhirkor; Drenvaraen; Drenvelesh; Drenverd; Drenvokesh; Drenvor; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,Drenkorath lian nor dren.,The oasis blessing speaks to the water.,LX-V3-0119
Drenlivar,/drehnlee-vahr/,,Noun,LIVAR; DREN,Salted Fish,Dren = water + livar = preserved,,,,,,Livar; Dren; Livaraen; Dren-; Velalivar; Drenaen; Vellivaraen; Drenalor; Drenartheth; Drenesh; Dreneth; Drenfel; Drenfellak; Drenjor; Drenkavvek; Drenkor; Drenkorath; Drenpralaen; Drenrek; Drenselaen; Drenshal; Drentalaen; Drenvaraen; Drenvelesh; Drenverd; Drenvokesh; Drenvor; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,Drenlivar vanesh dren thal morl.,The salted fish trades by the water and the mountain.,LX-V2-0171
Drenpralaen,/drehn-prahl-ah-ehn/,"Food, Agriculture, and Preservation 2",Verb,DREN; PRAL,"To brew; to prepare a drink by steeping, heating, fermenting, or a deliberate combination of those processes",,Dren liquid or drink + Pral skilled making + -aen,,,Drenapralaen,/dreh-nah-prahl-ah-ehn/,Dren; Pral; Dren-; Balpral; Drenaen; Balpralaen; Drenalor; Belpralmek; Drenartheth; Davapral; Drenesh; Dropralaen; Dreneth; Emilpral; Drenfel; Emilpralaen; Drenfellak; Emilpraleth; Drenjor; Eshpral; Drenkavvek; Eshpralaen; Drenkor; Eshpralor; Drenkorath; Kelpral; Drenlivar; Krezpral; Drenrek; Krezpralaen; Drenselaen; Mahrpral; Drenshal; Mahrpralor; Drentalaen; Mekeshpral; Drenvaraen; Mekpralor; Drenvelesh; Morlpral; Drenverd; Morpralaen; Drenvokesh; Norpral; Drenvor; Pralaen; Emildren; Pralbal; Eshdren; Pralfel; Eshdrenaen; Pralhav; Feldrenaen; Pralilan; Fennildren; Pralin; Kelvordren; Pralmor; Krezdrenaen; Pralor; Krezdrenvek; Pralral; Lorinshaldren; Pralvek; Morldren; Pralvinor; Peldren; Pralvokesh; Seldrenvinaen; Rethpral; Terradren; Rinpral; Vethdren; Selpralaen; Vindrenaen; Shenpralor; Zordren; Tenarpralaen; Zordrenvinaen; Vekpralor; Velpralaen; Velpralim; Velpralor; Velpraltrakor; Vethpralaen; Welpralor; Zhaelpralaen; Zhelpralaen,drenpralaen I fennildren.,I brew the herbal drink.,LX-FAP2-0018
Drenrek,/drehn-rehk/,"Environment, Geography, and Ecology 1",Noun,DREN; REK,Flood; an event in which water rises or spreads beyond its ordinary bounds,,Dren water + Rek peak intensity,,,,,Dren; Rek; Dren-; Fenrek; Drenaen; Krezrek; Drenalor; Rekaivaen; Drenartheth; Rekmav; Drenesh; Rekmekreth; Dreneth; Rekrathlor; Drenfel; Drenfellak; Drenjor; Drenkavvek; Drenkor; Drenkorath; Drenlivar; Drenpralaen; Drenselaen; Drenshal; Drentalaen; Drenvaraen; Drenvelesh; Drenverd; Drenvokesh; Drenvor; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,"jor kadro; nor, jor drenrek.","Drought intensifies; later, a flood rises.",LX-EGE1-0026
Drenselaen,/drehn-seh-lah-ehn/,Domestic and Sensory Life 1,Verb,DREN; SEL,To wash or rinse something with liquid so grime or residue is removed,,Dren + Sel + -aen,,,,,Dren; Sel; Dren-; Drosel; Drenaen; Seldrenvinaen; Drenalor; Selineth; Drenartheth; Selmek; Drenesh; Selmor; Dreneth; Selnemaen; Drenfel; Selpralaen; Drenfellak; Selshan; Drenjor; Selzhir; Drenkavvek; Verdselzhir; Drenkor; Drenkorath; Drenlivar; Drenpralaen; Drenrek; Drenshal; Drentalaen; Drenvaraen; Drenvelesh; Drenverd; Drenvokesh; Drenvor; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,drenselaen I drenvor.,I wash the bowl.,LX-DSL1-0031
Drenshal,/drehnshahl/,,Noun,DREN; SHAL,reflective pool/crystal-clear spring,Dren + Shal,,,,,,Dren; Shal; Dren-; Shal-; Drenaen; Dreshal; Drenalor; Kinnshal; Drenartheth; Ohmshal; Drenesh; Remashalxar; Dreneth; Shalaen; Drenfel; Shalbal; Drenfellak; Shaleth; Drenjor; Shalil; Drenkavvek; Shalithor; Drenkor; Shalkav; Drenkorath; Shalkor; Drenlivar; Shalnak; Drenpralaen; Shalnor; Drenrek; Shalor; Drenselaen; Shalorin; Drentalaen; Shalorveth; Drenvaraen; Shalpel; Drenvelesh; Shalrin; Drenverd; Shalshan; Drenvokesh; Shalvar; Drenvor; Vershalaen; Emildren; Vethshal; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,,,LX-V2-0143
Drentalaen,/drehn-tah-lah-ehn/,Domestic and Sensory Life 1,Verb,DREN; TAL,To pour; to transfer liquid deliberately in a directed stream,,Dren + Tal + -aen,,,Drenatalaen,/dreh-nah-tah-lah-ehn/,Dren; Tal; Dren-; Naktal; Drenaen; Shental; Drenalor; Talaen; Drenartheth; Talemilaen; Drenesh; Talrin; Dreneth; Talzhael; Drenfel; Weltal; Drenfellak; Drenjor; Drenkavvek; Drenkor; Drenkorath; Drenlivar; Drenpralaen; Drenrek; Drenselaen; Drenshal; Drenvaraen; Drenvelesh; Drenverd; Drenvokesh; Drenvor; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,drentalaen I dren an krezvek.,I pour water into the cooking pot.,LX-DSL1-0029
Drenvar,/drehn-vahr/,"Science, Astronomy, and Cosmology 1",Noun,,"Variable; a condition, property, value, or factor capable of changing within an observation, experiment, model, or calculation",,Established Drenvaraen change + noun-forming base,,,,,Drenvaraen,felshenaen shenral an dren; drenvaraen drenvar an krezshen.,The researcher samples the water; the variable changes with temperature.,LX-SAC1-0043
Drenvaraen,/drehn-vah-rah-ehn/,Conversational Narrative Engine 1,Verb,DREN; Var-,To change alter or become meaningfully different,,Dren + Var + -aen,,,,,Dren; Var; Drenvar; Dren-; Var-; Drenaen; Eshvaraen; Drenalor; Jorvar; Drenartheth; Kesvar; Drenesh; Mahrvaraen; Dreneth; Pelvar; Drenfel; Pelvaraen; Drenfellak; Shalvar; Drenjor; Thalwelvar; Drenkavvek; Varan; Drenkor; Varbelor; Drenkorath; Varnor; Drenlivar; Varral; Drenpralaen; Varrinmek; Drenrek; Varshanmek; Drenselaen; Varshel; Drenshal; Varvek; Drentalaen; Vekvaraen; Drenvelesh; Velvaraen; Drenverd; Vethvar; Drenvokesh; Wekvaraen; Drenvor; Xilvar; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,drenvaraen I shara.,I change the path.,LX-CNE1-0015
Drenvelesh,/drehnveh-lehsh/,,Noun,DREN; VEL; ESH,Morning Dew,Dew formed from the cold sky.,,,,,,Dren; Vel; Esh; Dren-; Eshvelaneth; Esh-; Drenaen; Kavel; Aneshxar; Drenalor; Kavelzhiraen; Drenesh; Drenartheth; Pelveltrakor; Drenvokesh; Tharvelim; Esharu; Dreneth; Velaen; Eshdren; Drenfel; Velaivkor; Eshdrenaen; Drenfellak; Velalivar; Eshjor; Drenjor; Velar; Eshkar; Drenkavvek; Velarshor; Eshkrezaen; Drenkor; Velbelxar; Eshlin; Drenkorath; Veleth; Eshlor; Drenlivar; Velithor; Eshlorien; Drenpralaen; Veljor; Eshlorral; Drenrek; Velkavor; Eshmekor; Drenselaen; Velkelor; Eshnor; Drenshal; Velkorin; Eshpral; Drentalaen; Velkrin; Eshpralaen; Drenvaraen; Vellian; Eshpralor; Drenverd; Vellivaraen; Eshtenor; Velmarin; Eshthael; Drenvor; Velmarineth; Eshtrakor; Emildren; Velmav; Eshvan; Velmek; Eshvaraen; Velmor; Eshvek; Feldrenaen; Velnor; Fennildren; Velpralaen; Eshvelor; Kelvordren; Velpralim; Eshvilor; Krezdrenaen; Velpralor; Eshweknor; Krezdrenvek; Velpraltrakor; Eshxar; Lorinshaldren; Velrathor; Kalvokesh; Morldren; Velterim; Mekeshpral; Peldren; Velthaelvok; Pralvokesh; Seldrenvinaen; Velthaen; Terraesh; Terradren; Velthamor; Xaresh; Vethdren; Velvaraen; Zhivokesh; Vindrenaen; Velxar; Zunesh; Zordren; Velxorin; Zordrenvinaen; Velzhiraen; Xarvel,Drenvelesh dren thal morl.,The morning dew rests on the water by the mountain.,LX-V2-0211
Drenverd,/drehn-vehrd/,"Environment, Geography, and Ecology 1",Noun,DREN; VERD,Wetland; water-saturated habitat such as a marsh swamp or bog,,Dren water + Verd living plant growth,,,,,Dren; Verd; Dren-; Arthverd; Drenaen; Belverd; Drenalor; Felverd; Drenartheth; Mavverd; Drenesh; Morlverd; Dreneth; Verdbel; Drenfel; Verdeth; Drenfellak; Verdin; Drenjor; Verdmarin; Drenkavvek; Verdor; Drenkor; Verdpel; Drenkorath; Verdselzhir; Drenlivar; Verdsov; Drenpralaen; Verdvin; Drenrek; Verdxar; Drenselaen; Zhirverd; Drenshal; Drentalaen; Drenvaraen; Drenvelesh; Drenvokesh; Drenvor; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,rinaen fellun ser drenverd.,The pond is connected to the wetland.,LX-EGE1-0015
Drenvokesh,/drehnvoh-kehsh/,,Noun,DREN; VOK; ESH,Water Unity Ceremony,Derived From: Dren (water) + vok (bond) + esh (connection). Meaning: A ritual where families or clans pledge unity near water.,,,,,,Dren; Vok; Esh; Dren-; Vok-; Esh-; Drenaen; Belvok; Aneshxar; Drenalor; Kalvok; Drenesh; Drenartheth; Kalvokesh; Drenvelesh; Kavok; Esharu; Dreneth; Kelvok; Eshdren; Drenfel; Lorlivok; Eshdrenaen; Drenfellak; Pelvokaen; Eshjor; Drenjor; Pralvokesh; Eshkar; Drenkavvek; Rethvok; Eshkrezaen; Drenkor; Servok; Eshlin; Drenkorath; Sharavok; Eshlor; Drenlivar; Sivvok; Eshlorien; Drenpralaen; Tharvok; Eshlorral; Drenrek; Velthaelvok; Eshmekor; Drenselaen; Vokaen; Eshnor; Drenshal; Voktarin; Eshpral; Drentalaen; Zhirvok; Eshpralaen; Drenvaraen; Zhivokesh; Eshpralor; Eshtenor; Drenverd; Eshthael; Drenvor; Eshtrakor; Emildren; Eshvan; Eshvaraen; Eshvek; Feldrenaen; Eshvelaneth; Fennildren; Eshvelor; Kelvordren; Eshvilor; Krezdrenaen; Eshweknor; Krezdrenvek; Eshxar; Lorinshaldren; Morldren; Mekeshpral; Peldren; Seldrenvinaen; Terraesh; Terradren; Xaresh; Vethdren; Vindrenaen; Zunesh; Zordren; Zordrenvinaen,Drenvokesh kal dren nor Belvok.,The water unity strengthens the family by the water.,LX-V3-0107
Drenvor,/drehnvohr/,,Noun,DREN,"Bowl, Cup, Water-holder",Dren (water) + Vor (place of bond),,,,,,Dren; Dren-; Drenaen; Drenalor; Drenartheth; Drenesh; Dreneth; Drenfel; Drenfellak; Drenjor; Drenkavvek; Drenkor; Drenkorath; Drenlivar; Drenpralaen; Drenrek; Drenselaen; Drenshal; Drentalaen; Drenvaraen; Drenvelesh; Drenverd; Drenvokesh; Emildren; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,rinaen drenvor woreth.,The bowl is full.,LX-V4-0016
Dresh,/drehsh/,"Clothing, Wearable Protection, and Ordinary Materials 2",Noun,,"Crystal; an ordered mineral solid, often faceted or translucent, used naturally, magically, structurally, or technologically",,,,,,,Dreshal,rinaen xil an dresh.,There is a shard in the crystal.,LX-CWM2-0008; XR-dresh
Dreshal,/drehsh-ahl/,Dictionary Review 1,Noun,DRESH; SHAL,Crystal device / Crystal implement,,Dresh crystal + Shal light.,,,,,Dresh; Shal; Shal-; Drenshal; Kinnshal; Ohmshal; Remashalxar; Shalaen; Shalbal; Shaleth; Shalil; Shalithor; Shalkav; Shalkor; Shalnak; Shalnor; Shalor; Shalorin; Shalorveth; Shalpel; Shalrin; Shalshan; Shalvar; Vershalaen; Vethshal,Nor-var I kareth var dreshal.,I will go use the tool and the crystal device.,LX-DR1-0019
Dro,/droh/,,Noun,,Water - basic,"Use in casual conversation, between friends/family, marketplaces. Avoid Li- / -en unless context requires politeness.",,,,,,Drobalaen; Drobel; Drojormek; Drokav; Dronjor; Dropralaen; Droral; Drorav; Drosel; Droshara; Droshen; Kadro; Kadromav; Kadromor,rinaen njor esh dro.,The bridge is above the water.,LX-V3-0014; XR-dro
Drobalaen,/droh-bahl-ah-ehn/,"Food, Agriculture, and Preservation 1",Verb,DRO; BAL,To irrigate; to supply cultivated growth or land with deliberately directed physical water,,Dro physical water + Bal growth + -aen,,,,,Dro; Bal; Drobel; Balemilaen; Drojormek; Balpral; Drokav; Balpralaen; Dronjor; Balral; Dropralaen; Balrin; Droral; Balshan; Drorav; Balvek; Drosel; Mavbal; Droshara; Pralbal; Droshen; Shalbal; Kadro; Kadromav; Kadromor,drobalaen balral sov.,The farmer irrigates the field.,LX-FAP1-0005
Drobel,/droh-behl/,National Expansion 1,Noun,DRO; BEL,Water-distribution system,,Dro + Bel,Jasara,Jasaran irrigation network or civic waterworks.,,,Dro; Bel; Drobalaen; Bel-; Drojormek; Belar; Drokav; Beldava; Dronjor; Belkes; Dropralaen; Belkor; Droral; Belkoraen; Drorav; Belkren; Drosel; Belmek; Droshara; Belmor; Droshen; Belnoraen; Kadro; Belor; Kadromav; Belpralmek; Kadromor; Belraku; Belreth; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Emilbel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,arth droral drobel.,The water keeper protects the waterworks.,LX-NE1-0004
Drojormek,/droh-johr-mehk/,Built Spaces and Public Infrastructure 1,Noun,DRO; JOR; MEK,Fountain; a constructed feature that directs water upward or outward before it falls or gathers,,Dro water + Jor surge + Mek construction,,,,,Dro; Jor; Mek; Drobalaen; Drenjor; Anmek; Drobel; Eshjor; Belmek; Drokav; Joreth; Belpralmek; Dronjor; Jorkal; Felmek; Dropralaen; Jorlin; Jekmek; Droral; Jornak; Kalmek; Drorav; Jornor; Karmek; Drosel; Jorvak; Kesmek; Droshara; Jorvalin; Kormek; Droshen; Jorvar; Lormek; Kadro; Jorvilor; Lormekral; Kadromav; Jorzhael; Mekaru; Kadromor; Jorzhel; Mekeshpral; Jorzhelkav; Mekkes; Karjor; Mekor; Leyajor; Mekpralor; Morljor; Mekral; Ngarjor; Mekrask; Ngarjoraen; Mekreth; Rathjor; Mekshara; Rathorjor; Mormek; Ravjor; Nethmek; Sadarjor; Normek; Tavojorin; Rakumek; Veljor; Rinmek; Selmek; Shanmek; Shenmek; Thalmek; Varokmek; Varshanmek; Velmek; Wekmek; Zhelvek,var dro thal drojormek.,Water moves from the fountain.,LX-BSPI1-0038
Drokav,/droh-kahv/,National Expansion 1,Noun,DRO; KAV,Cistern; protected water reserve,,Dro + Kav,Jasara,Jasaran protected storage for scarce water.,,,Dro; Kav; Drobalaen; Belzhirkavor; Drobel; Drenkavvek; Drojormek; Kavaen; Dronjor; Kavdava; Dropralaen; Kavdavaen; Droral; Kavdeldava; Drorav; Kaveth; Drosel; Kavkrez; Droshara; Kavolan; Droshen; Kavral; Kadro; Kavsul; Kadromav; Kavvek; Kadromor; Kavzhelaen; Liankavor; Shalkav; Terrakav; Velkavor; Zhelkav,rinaen drosel an drokav.,Clean drinking water is in the cistern.,LX-NE1-0002
Dronjor,/droh-n-johr/,Built Spaces and Public Infrastructure 1,Noun,NJOR; DRO,Aqueduct; a bridge-like or elevated structure that carries water across a gap,,Dro water + Njor structural span,,,,,Njor; Dro; Drobalaen; Drobel; Drojormek; Drokav; Dropralaen; Droral; Drorav; Drosel; Droshara; Droshen; Kadro; Kadromav; Kadromor,var dro shan dronjor.,Water passes through the aqueduct.,LX-BSPI1-0035
Dropralaen,/droh-prahl-ah-ehn/,General Magic and Metaphysical Practice 1,Verb,DRO; PRAL,To shape or control physical water its pressure motion or form through extraordinary trained practice,,Dro physical water + Pral skilled shaping,,,,,Dro; Pral; Drobalaen; Balpral; Drobel; Balpralaen; Drojormek; Belpralmek; Drokav; Davapral; Dronjor; Drenpralaen; Droral; Emilpral; Drorav; Emilpralaen; Drosel; Emilpraleth; Droshara; Eshpral; Droshen; Eshpralaen; Kadro; Eshpralor; Kadromav; Kelpral; Kadromor; Krezpral; Krezpralaen; Mahrpral; Mahrpralor; Mekeshpral; Mekpralor; Morlpral; Morpralaen; Norpral; Pralaen; Pralbal; Pralfel; Pralhav; Pralilan; Pralin; Pralmor; Pralor; Pralral; Pralvek; Pralvinor; Pralvokesh; Rethpral; Rinpral; Selpralaen; Shenpralor; Tenarpralaen; Vekpralor; Velpralaen; Velpralim; Velpralor; Velpraltrakor; Vethpralaen; Welpralor; Zhaelpralaen; Zhelpralaen,krezpralaen arural krez ser dropralaen seren dro.,The practitioner shapes fire and the guardian shapes physical water.,LX-GMMP1-0031
Droral,/droh-rahl/,National Expansion 1,Noun,DRO; RAL,Water keeper; water steward,,Dro + Ral,Jasara,Jasaran caretaker responsible for a shared water supply.,,,Dro; Ral; Drobalaen; Aennorral; Drobel; Aenthaelral; Drojormek; Balral; Drokav; Belvethral; Dronjor; Belzorral; Dropralaen; Dovhavral; Drorav; Eshlorral; Drosel; Gavral; Droshara; Karthaelral; Droshen; Kavral; Kadro; Kelvekral; Kadromav; Khumkelral; Kadromor; Krenral; Lorbelral; Lormekral; Lorvekral; Mekral; Mormekral; Naklorral; Neshbrenral; Nkural; Norpralral; Pralral; Rinpralral; Shenral; Thaelral; Vethral; Xarvethral; Zhaelral; Zhirkelral,arth droral drobel.,The water keeper protects the waterworks.,LX-NE1-0003
Drorav,/droh-rahv/,Domestic and Sensory Life 1,Noun,DRO; RAV,Thirst; the bodily pull or need for drinking water or other liquid,,Dro + Rav,,,,,Dro; Rav; Drobalaen; Rav-; Drobel; Emilrav; Drojormek; Kalrav; Drokav; Ravjor; Dronjor; Ravkar; Dropralaen; Ravohm; Droral; Ravshan; Drosel; Ravvekaen; Droshara; Ravwek; Droshen; Ravzhel; Kadro; Terrarav; Kadromav; Wekrav; Kadromor,rinaen I drorav.,I am thirsty.,LX-DSL1-0036
Drosel,/droh-sehl/,National Expansion 1,Noun,DRO; SEL,Clean drinking water,,Dro + Sel,Pelagae,Ordinary water made safe and clean for drinking.,,,Dro; Sel; Drobalaen; Drenselaen; Drobel; Seldrenvinaen; Drojormek; Selineth; Drokav; Selmek; Dronjor; Selmor; Dropralaen; Selnemaen; Droral; Selpralaen; Drorav; Selshan; Droshara; Selzhir; Droshen; Verdselzhir; Kadro; Kadromav; Kadromor,drenaen I drosel.,I drink clean water.,LX-NE1-0008
Droshara,/droh-shah-rah/,Built Spaces and Public Infrastructure 1,Noun,DRO; SHARA,Canal; a deliberately made channel that carries water along a set route,,Dro ordinary physical water + Shara route,,,,,Dro; Shara; Drobalaen; Shara-; Drobel; Awekshara; Drojormek; Belshara; Drokav; Brosshara; Dronjor; Dralshara; Dropralaen; Emilshara; Droral; Felshara; Drorav; Kasharaen; Drosel; Kinnshara; Droshen; Lorshara; Kadro; Mekshara; Kadromav; Morlshara; Kadromor; Nakshara; Rakushara; Rethshara; Sharaen; Sharaka; Sharalorin; Sharashen; Sharavok; Sharbel; Tharshara; Tharsharaen; Vershara; Weksharaen; Zhelshara; Zhirshara,var dro an droshara.,Water moves along the canal.,LX-BSPI1-0034
Droshen,/droh-shehn/,National Expansion 1,Noun,DRO; SHEN,Water ration,,Dro + Shen,Jasara,"Jasaran water allotment for households, travelers, or fields.",,,Dro; Shen; Drobalaen; Belshen; Drobel; Dralshen; Drojormek; Felshen; Drokav; Ka-Shen; Dronjor; Kalshen; Dropralaen; Keshen; Droral; Krezshen; Drorav; Lianrethshen; Drosel; Morshen; Droshara; Pelsheneth; Kadro; Rethshen; Kadromav; Rinshen; Kadromor; Sharashen; Shenakar; Shenbel; Shendava; Shenkes; Shenkesor; Shenlian; Shenmek; Shenpralor; Shenral; Shenreth; Shental; Shentalzhael; Shenvarash; Shenzhir; Sivshen; Songashen; Thalaneshen; Vaarshen; Zhaelshen,tal droral droshen an Ilin.,The water keeper gives the water ration to us.,LX-NE1-0001
Duma,/doo-mah/,"Sex, Birth, and Death 1",Noun,,Death; the irreversible end of a living being's bodily life without by itself determining what happens to soul identity or memory,,,,,,,Dumaen; Dumanali; Dumeth,rinaen duma nor rathjor.,There is death during the battle.,LX-SBD1-0007; XR-duma
Dumaen,/doo-mah-ehn/,"Sex, Birth, and Death 1",Verb,DUMA,To die; to undergo the irreversible end of bodily life,,Duma death + -aen verb,,,,,Duma; Dumanali; Dumeth,dumaen nesh an dren.,The fish dies in the water.,LX-SBD1-0008
Dumanali,/doo-mah-nah-lee/,"Environment, Geography, and Ecology 1",Noun,NALI; DUMA,Extinction; the complete end of a species or distinct living lineage,,Duma death + Nali species,,,,,Nali; Duma; Kornali; Dumaen; Nalior; Dumeth; Rathnali; Rathshannali; Shannali; Welnali,kes lorin dumanali an rathor ser rathnali an nor.,The scholar records past extinction and a presently endangered species.,LX-EGE1-0050
Dumeth,/doo-mehth/,"Sex, Birth, and Death 1",Adjective,DUMA,Dead or deceased; no longer bodily alive,,Duma death + -eth adjective,,,,,Duma; Dumaen; Dumanali,rinaen nesh dumeth.,The fish is dead.,LX-SBD1-0009
Ekor,/eh-kohr/,,Quantifier,KOR,Each / Every,Usage: Placed before the noun.,,,,,,Kor; Aivkor; Belkor; Belkoraen; Drenkor; Drenkorath; Jelkor; Korin; Korkalvar; Kormek; Kormor; Kornali; Korpir; Korsharvar; Korwek; Shalkor; Vorkor; Zhelkor; Zhirkor,Kal Ekor Kadron.,Strengthens Each Man.,LX-V2-0217
Elan,/eh-lahn/,,Particle,,"Well... (conversational starter/filler, declarative).",Usage: Typically sentence-initial.,,,,,,,"elan, var I an dren.","Well, I am going to the water.",LX-V3-0030
Elor,/eh-lohr/,,Noun,,Growth; upward alignment; unfolding maturity,"Builds words for growth, emergence, alignment, and upward or life-stage progression.",,,,,,Zhirelorim,,,XR-elor
Em,/ehm/,Dictionary Review 1,Interjection,,Um / Uh (hesitation or thinking particle),,,,,,,,"em, dar I.","Um, I wait.",LX-DR1-0010
Em,/ehm/,Dictionary Review 1,Particle,,Conversational hesitation / Thinking particle,,,,,,,,"em, dar I.","Um, I wait.",LX-DR1-0010
Emil,/eh-meel/,,Noun,,Food; meal,Common everyday word for sustenance in both casual and formal contexts.,,,,,,Balemilaen; Emilbel; Emildren; Emilolan; Emilpral; Emilpralaen; Emilpraleth; Emilrav; Emilshan; Emilshara; Emiltash; Emilzhir; Talemilaen,kes I emil jin an van.,I notice rare food in the market.,DX-emil
Emilbel,/eh-meel-behl/,"Environment, Geography, and Ecology 1",Noun,BEL,Food web; the interconnected network of feeding relationships within an ecosystem,,Emil food + Bel binding network,,,,,Bel; Balemilaen; Bel-; Emil; Belar; Emildren; Beldava; Emilolan; Belkes; Emilpral; Belkor; Emilpralaen; Belkoraen; Emilpraleth; Belkren; Emilrav; Belmek; Emilshan; Belmor; Emilshara; Belnoraen; Emiltash; Belor; Emilzhir; Belpralmek; Talemilaen; Belraku; Belreth; Belrin; Belrinpel; Belshan; Belshara; Belshen; Belsura; Belthal; Belvekaen; Belvelrathor; Belverd; Belvethral; Belvok; Belwek; Belxar; Belzhir; Belzhirkavor; Belzhirvek; Belzor; Belzoraen; Dralbelaen; Drobel; Lianbel; Lorbel; Nyelbel; Rinbel; Sharbel; Shenbel; Thaenbel; Thalbel; Tharbel; Varbelor; Verdbel; Vethbel; Zhelbel; Zhirbel,rinaen gavin an emilzhir ser emilbel.,The prey belongs to both the food chain and the wider food web.,LX-EGE1-0058
Emildren,/eh-meel-drehn/,"Food, Agriculture, and Preservation 1",Noun,DREN,A beverage; prepared liquid intended for drinking,,Emil food or meal + Dren liquid,,,Emiladren,/eh-mee-lah-drehn/,Dren; Balemilaen; Dren-; Emil; Drenaen; Emilbel; Drenalor; Emilolan; Drenartheth; Emilpral; Drenesh; Emilpralaen; Dreneth; Emilpraleth; Drenfel; Emilrav; Drenfellak; Emilshan; Drenjor; Emilshara; Drenkavvek; Emiltash; Drenkor; Emilzhir; Drenkorath; Talemilaen; Drenlivar; Drenpralaen; Drenrek; Drenselaen; Drenshal; Drentalaen; Drenvaraen; Drenvelesh; Drenverd; Drenvokesh; Drenvor; Eshdren; Eshdrenaen; Feldrenaen; Fennildren; Kelvordren; Krezdrenaen; Krezdrenvek; Lorinshaldren; Morldren; Peldren; Seldrenvinaen; Terradren; Vethdren; Vindrenaen; Zordren; Zordrenvinaen,tal I emildren an ser.,I give a beverage to the friend.,LX-FAP1-0030
Emilolan,/eh-meel-oh-lahn/,"Food, Agriculture, and Preservation 2",Noun,OLAN,Cooking or edible oil; oil prepared and considered safe for use in food,,Emil food + Olan oil,,,,,Olan; Balemilaen; Kavolan; Emil; Morolan; Emilbel; Olanbelrin; Emildren; Olankrezaen; Emilpral; Zhaelolan; Emilpralaen; Emilpraleth; Emilrav; Emilshan; Emilshara; Emiltash; Emilzhir; Talemilaen,dor I emilolan an krezpral.,I put cooking oil in the pan.,LX-FAP2-0005
