entry_id,source_volume,source_section,page_number,root_or_morpheme,type,meaning_or_function,derived_forms,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
RM-S3-0006,Supplement 3: The Conceptual Lexicon,Part 2: The Elemental Pillars > Entry 2.4: The Root Esh- (Sky/Air),4,Esh-,Conceptual root,"Sky, air, wind; freedom, thought, divine, intellect, perspective, beginnings.",Esh + Thal = Clarity of Mind / Perspective; Esh + Shara = A Sky-Path / A Celestial Journey; Esh + Lianor = An Epiphany / A Divine Thought,Esh is the primary metaphor for the mind and for abstract thought.,Canon,Conceptual layer preserved.,LX-V1-0021; LX-V2-0006; LX-V2-0071; LX-V4-0110,refinement,PT-S3-0001,Approved,
RM-S3-0007,Supplement 3: The Conceptual Lexicon,Part 2: The Elemental Pillars > Entry 2.5: The Root terra- / Terra- (earth),4-6,terra- / Terra-,Conceptual root / capitalization distinction,"Earth, ground, soil, land; lowercase terra is mundane physical ground; capitalized Terra is the world as living spiritual entity.",Terra + Dren = Fertile Soil / The Source of Life; Terra + Rin = World-Soul / The Spirit of Ohnosha; Terra + Bel = A Foundation / A Grounding Principle,"Capitalized Terra refers to the planet as a living, spiritual entity, the ""Heart of Terra.""",Canon,Current naming applied: Ohnosha is the current world name; Terra is the Celan world/sacred term; terra is physical land/ground.,LX-V2-0001; LX-V2-0073; LX-V4-0108; CC-S3-0002,refinement,PT-S3-0002; PT-S3-0003,Needs Human Review,legacy naming clarification
RM-S3-0008,Supplement 3: The Conceptual Lexicon,Part 3: The Metaphysical Concepts > Entry 3.1: The Root Lian- (Truth),6-7,Lian-,Conceptual root,"Truth, honesty; reality, natural law, essence, logic, clarity, correctness.",Lian + Thal = Justice / Fairness; Lian + Bel = A Vow / An Oath; Ver + Lian = A Lie / Untruth,Lian is not just something you speak; it is a state of being.,Canon,Conceptual layer preserved; links to lianeth modality through existing Volume 4 material.,LX-V2-0026; LX-V2-0064; LX-V4-0114,refinement,PT-S3-0001,Approved,
RM-S3-0009,Supplement 3: The Conceptual Lexicon,Part 3: The Metaphysical Concepts > Entry 3.2: The Root Thal- (Balance),7-8,Thal-,Conceptual root / preposition overlap,"Balance, harmony, equilibrium; also preposition meaning From / Out of.",Thal + Rin = Destiny / The Natural Order; Thal + Vok = A Perfect Bond / Harmony; absence of Thal defines Rethvok,"As a Noun: Thal is an active, dynamic state, not a passive one.",Canon,Source uses Ohnoshan worldview language; current naming applied.,LX-V1-0017; LX-V2-0008; LX-V2-0023; LX-V2-0072; LX-V4-0109,refinement,PT-S3-0002; PT-S3-0007,Needs Human Review,legacy naming clarification
RM-S3-0010,Supplement 3: The Conceptual Lexicon,Part 3: The Metaphysical Concepts > Entry 3.3: The Root Reth- / Rethvok- (Uncertainty/Chaos),8,Reth- / Rethvok-,Conceptual root / conjunction overlap,"Reth: uncertainty, confusion, doubt, a question, or. Rethvok: chaos, disorder, un-ordered state.",Rethvok + Shara = A Path of Ruin / A Bad Decision; Reth + Lianor = A Paradox / A Riddle,"The conjunction ""Or"" (reth) is derived from this root, implying that the act of having to choose between options is an inherent state of uncertainty.",Canon,Refines existing Reth conjunction and Rethvok chaos rows; no resolution applied.,LX-V2-0045; LX-V4-0077; LX-V4-0103; LX-V4-0075; PE-S1-0011,refinement,PT-S3-0007,Needs Human Review,terminology overlap
RM-S3-0011,Supplement 3: The Conceptual Lexicon,Part 3: The Metaphysical Concepts > Entry 3.4: The Root Nor- (Time/Flow),8-9,Nor-,Conceptual root / prefix / preposition overlap,"Time, the flow of events; also future prefix and preposition at/in time.",Nor + Vel = Continuity / Eternity; Nor + Ka = Now / This moment; nor-ka Echo Particle,"Time is often conceptualized as a river. One can be swept along by it, or one can learn to navigate its currents.",Canon,Refines existing Nor future/preposition/passive overlaps; no resolution applied.,LX-V1-0020; LX-V2-0020; LX-V4-0100; RM-V1-0005; RM-V2-0036; RM-V4-0003,refinement,PT-S3-0007,Needs Human Review,terminology overlap
RM-S3-0012,Supplement 3: The Conceptual Lexicon,Part 3: The Metaphysical Concepts > Entry 3.5: The Root Rin- (Essence),9,Rin-,Conceptual root,"Essence, core nature, spirit, intrinsic quality.",Rin + Thal = Integrity; Ver + Rin = Soulless / Fake / Artificial,"Every object, person, and concept is believed to have a Rin. It is their unchanging, true self, distinct from their physical form.",Canon,Important identity-context refinement preserved; no existing identity entries changed.,CC-S3-0004,refinement,PT-S3-0004,Needs Human Review,identity concept refinement
RM-S3-0013,Supplement 3: The Conceptual Lexicon,Part 4: The Social & Personal Concepts > Entry 4.1: The Root Bel- (To bind/Weave),9-10,Bel-,Conceptual root,"To bind, weave, connect, fasten; civilization, bonds, restrictions, systems.",Bel + Thal = Order / The System / The Great Weave; Bel + Shara = Duty / A Bound Path; Bel + Vok = Clan / Family,Bel is the fundamental principle of civilization.,Canon,Conceptual layer preserved.,RM-V2-0003; LX-V4-0074; PE-S1-0010,refinement,PT-S3-0001,Approved,
RM-S3-0014,Supplement 3: The Conceptual Lexicon,Part 4: The Social & Personal Concepts > Entry 4.2: The Root Kal- (Strength),10,Kal-,Conceptual root,"Strength, power, force; neutral force whose virtue depends on use.",Kal + -or = Spiritual Strength / Willpower; Kal + Varok = Dominion / Tyranny; Kal + Rin = The Essence of Strength,Kal is a neutral force. It is not inherently good or bad. Its virtue is determined by how it is used.,Canon,Source uses Ohnoshan language for philosophical debate; current naming applied.,LX-V2-0031; LX-V4-0111,refinement,PT-S3-0002,Needs Human Review,legacy naming clarification
RM-S3-0015,Supplement 3: The Conceptual Lexicon,Part 4: The Social & Personal Concepts > Entry 4.3: The Root Shara- (Path),10-11,Shara-,Conceptual root,"A path, a road, a journey; life path, strategy, decision path.",Shara + -ka = Freedom; Shara + Thal = An Outcome / A Result; Lian + Shara = The True Path / Righteousness,One's life is universally seen as a Shara.,Canon,Conceptual layer preserved.,LX-V2-0010,refinement,PT-S3-0001,Approved,
RM-S3-0016,Supplement 3: The Conceptual Lexicon,Part 4: The Social & Personal Concepts > Entry 4.4: The Root Ohm- (Connection/Unity),11,Ohm-,Conceptual root,"Connection, meeting point, circuit; spiritual connection distinct from Bel.",Ohm + -aen = To Love / To Cherish / To Attune With; Ohm + Rin = Attunement / Empathy; Ohm + Vok = The Collective Consciousness / The Great Bond,Ohm is the principle that no person or thing is an island.,Canon,Conceptual layer preserved; Bel/Ohm distinction flagged because it affects interpretation.,RM-V2-0024,refinement,PT-S3-0005,Needs Human Review,contextual meaning overlap
RM-S3-0017,Supplement 3: The Conceptual Lexicon,Part 4: The Social & Personal Concepts > Entry 4.5: The Root Thar- (Heart),11-12,Thar-,Conceptual root,"The physical heart; source of emotion, will, and true inner self.",Thar + -ka = Desire / Will; Thar + Lian = An Oath / A Heart-Truth; Morl + Thar = Stoicism / A Resolute Heart,"The mind (Lianor) thinks, but the heart (Thar) is.",Canon,Source uses Ohnoshan stories language; current naming applied.,LX-V2-0007; LX-V2-0057; LX-V4-0115; PE-S1-0001,refinement,PT-S3-0002,Needs Human Review,legacy naming clarification
RM-S3-0018,Supplement 3: The Conceptual Lexicon,Part 5: The Concepts of Action & Being > Entry 5.1: The Root Var- (To Go/Move),12,Var-,Conceptual root / preposition overlap,"To go, move, travel; also preposition to/towards; action and existence.",Var + Ok = To Command / To Direct; Ver + Var = Stasis / Inaction,"In Celan, ""to be"" is often expressed as an act of ""going"" or ""moving.""",Canon,Conceptual layer preserved; links to existing Var verb/preposition rows.,LX-V1-0015; LX-V2-0034; LX-V2-0063; LX-V3-0010; LX-V4-0099,refinement,PT-S3-0007,Needs Human Review,terminology overlap
RM-S3-0019,Supplement 3: The Conceptual Lexicon,Part 5: The Concepts of Action & Being > Entry 5.2: The Root Aen- (To Speak/Breathe),12-13,Aen-,Conceptual root / complementizer overlap,"To speak, breathe, make a sound; also complementizer that.",Aen + -or = The Ear / Place of Sound; Aen + Nor = Music,Speech and breath are considered two sides of the same life-giving coin.,Canon,Refines Aen/Aenor polysemy and complementizer usage; no resolution applied.,LX-V2-0028; LX-V2-0062; LX-V3-0009; LX-V4-0102; RM-V3-0005; LX-V2-0049; LX-V4-0081; LX-V4-0107,refinement,PT-S3-0006; PT-S3-0007,Needs Human Review,terminology overlap
RM-S3-0020,Supplement 3: The Conceptual Lexicon,Part 5: The Concepts of Action & Being > Entry 5.3: The Root Pralaen- (To Make/Craft),13,Pralaen-,Conceptual root,"To make, craft, shape with care; skill, purpose, imposing order.",Pralaen + Shal = To Create Fate; Pralaen + Rethvok = To cause destruction / To make a mess,"Pralaen is distinct from simple ""creation."" It implies skill, purpose, and the act of imposing order (Belthal).",Canon,Conceptual layer preserved.,LX-V4-0049,refinement,PT-S3-0001,Approved,
RM-S3-0021,Supplement 3: The Conceptual Lexicon,Part 5: The Concepts of Action & Being > Entry 5.4: The Root Rav- (To Pull/Yearn),13-14,Rav-,Conceptual root,"To pull, draw towards; desire, deep yearning, destiny pull.",Rav- + -okhaen = To Desire / To Yearn For; Rav- + Thar = A Yearning Heart / Passionate Longing,"Rav- is the root of desire. It represents the gravitational pull of the heart (Thar) or spirit towards a person, object, or goal.",Canon,Conceptual layer preserved.,RM-V2-0021,refinement,PT-S3-0001,Approved,
RM-S3-0022,Supplement 3: The Conceptual Lexicon,Part 5: The Concepts of Action & Being > Entry 5.5: The Root Vok- (To Break/Unite),14,Vok-,Conceptual root / duality,Duality of breaking a bond and forming a unity; noun Vok means unity; verb vokaen breaks unity.,Vok + -aen = To Betray / To Break a Bond; Bel + Vok = Clan / Family; Reth + Vok = Chaos,"This root embodies a profound duality. The noun Vok means ""Unity."" The primary verb vokaen means ""to break that unity.""",Canon,Refines Vok unity/betrayal polysemy; no merge or correction applied.,LX-V4-0120,refinement,PT-S3-0008,Needs Human Review,contextual meaning overlap
RM-S3-0023,Supplement 3: The Conceptual Lexicon,Part 6: The Concepts of Society & Culture > Entry 6.1: The Root Ser- (Friend/With),14-15,Ser-,Conceptual root / preposition / conjunction overlap,"Friend, ally; also with and and.",Ser + Rin = Friendship / Comradery; Kal + Ser = An Ally of Strength / A Bodyguard,"To connect two things with ""and"" (ser) is to place them in accompaniment (ser), which is the very essence of being a friend (Ser).",Canon,Refines existing Ser friend/with/and polysemy; no resolution applied.,LX-V1-0016; LX-V2-0036; LX-V2-0065; LX-V4-0076; LX-V4-0112,refinement,PT-S3-0007,Needs Human Review,terminology overlap
RM-S3-0024,Supplement 3: The Conceptual Lexicon,Part 6: The Concepts of Society & Culture > Entry 6.2: The Root Rath- (Enemy/If),15,Rath-,Conceptual root / conditional overlap,"Enemy, foe, adversary; also conditional particle if.",Rath + -or = Enemy Territory / A Place of Great Danger; Rath + Vethor = A Hidden Enemy / An Assassin; Rath + Thar = A Hateful Heart / Malevolence,"The conditional ""if"" (rath) is derived from the word for ""enemy.""",Canon,Refines Rath conditional/foe relation; no resolution applied.,LX-V2-0040; RM-V1-0012; RM-V3-0009; PE-S1-0002,refinement,PT-S3-0007,Needs Human Review,terminology overlap
RM-S3-0025,Supplement 3: The Conceptual Lexicon,Part 6: The Concepts of Society & Culture > Entry 6.3: The Root Khum- (To Listen/Know),15-16,Khum-,Conceptual root,"To listen, perceive, know through hearing; patient knowing and introspection.",Khum- + -rel = To Listen Deeply / To Meditate On; Khum- + -lor = A Circle / A Council,"Khum- implies a deeper, more patient form of knowing than the visual Shalaen (to see).",Canon,Conceptual layer preserved.,RM-V2-0025,refinement,PT-S3-0001,Approved,
RM-S3-0026,Supplement 3: The Conceptual Lexicon,Part 6: The Concepts of Society & Culture > Entry 6.4: The Root Zhir- (Thread/Lineage),16,Zhir-,Conceptual root,"Thread, line, cord; connection through time, lineage, history, cause-effect, fate.",Ka + Zhir = Without Lineage / Bastard; Zhir + Vok = A Severed Tie / A Betrayal of Heritage,Zhir- is the primary metaphor for connection through time. This is distinct from Bel (social binding) and Ohm (spiritual connection).,Canon,Conceptual layer preserved; Bel/Ohm/Zhir distinctions flagged because they affect interpretation.,,refinement,PT-S3-0005,Needs Human Review,contextual meaning overlap
RM-S3-0027,Supplement 3: The Conceptual Lexicon,Part 6: The Concepts of Society & Culture > Entry 6.5: The Root Kel- (To Say/Name),16-17,Kel-,Conceptual root,"To say, speak, name; definition and ordering through language.",Kel- + -ka = A Word; Kel- + Rin = A Name; Kel- + Ver = Silence,"Kel- is distinct from the life-giving Aen (to speak/breathe). Kel- is the intellectual, ordering act of defining reality through language.",Canon,Conceptual layer preserved; Aen/Kel distinction flagged because it affects lookup and interpretation.,LX-V3-0012; LX-V4-0121,refinement,PT-S3-0005,Needs Human Review,contextual meaning overlap
