entry_id,source_volume,source_section,page_number,celan_term,english_meaning,category,usage_context,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
LX-V2-0140,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",11-13,Ka-Shen,Barter / Tradegoods (non-monetary) / Without Coin. Refers to trade done through exchange of goods rather than currency.,Market Jargon,Ka (without) + Shen(akar) (coinage),Ka-Shen: Derivation: Ka (without) + Shen(akar) (coinage) / Meaning: Barter / Tradegoods (non-monetary) / Without Coin. Refers to trade done through exchange of goods rather than currency. / Example: Vanesh Ilin ka-shen lialor. (We trade via barter indeed.),Canon,Original jargon entry preserved.,PE-V2-0050,related usage,,Approved,
LX-V2-0141,Volume 2: Dictionary and Word Formation,"Vocabulary > JARGON: (BATTLE, TEMPLE, MARKET) > Market Jargon",11-13,Vellian,"Quality Goods / Honest Value / True Sustenance. Refers to goods considered high quality, fairly priced, or genuinely valuable.",Market Jargon,Vel (sustenance/food or wisdom/value?) + Lian (truth/honesty),"Vellian: Derivation: Vel (sustenance/food or wisdom/value?) + Lian (truth/honesty) / Meaning: Quality Goods / Honest Value / True Sustenance. Refers to goods considered high quality, fairly priced, or genuinely valuable. / Example: Tal Varadan vellian an Ilan. (The Merchant offers quality goods to the Student.)",Canon,Human-approved fused spelling applied: Vellian. Derivation uncertainty remains from source.,PE-V2-0051,related usage,PT-V2-0017,Needs Human Review,possible derivation uncertainty
LX-V2-0142,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Compounding,14,Terradren,fertile soil/well-irrigated land,Compounding Example,Terra + Dren,Terra + Dren = Terradren (fertile soil/well-irrigated land),Canon,Original table/list entry preserved.,GR-V2-0003,related usage,,Approved,
LX-V2-0143,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Compounding,14,Drenshal,reflective pool/crystal-clear spring,Compounding Example,Dren + Shal,Dren + Shal = Drenshal (reflective pool/crystal-clear spring),Canon,Original table/list entry preserved.,GR-V2-0003,related usage,,Approved,
LX-V2-0144,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Compounding,14,Morldren,waterfall/mountain stream,Compounding Example,Morl + Dren,Morl + Dren = Morldren (waterfall/mountain stream),Canon,Original table/list entry preserved.,GR-V2-0003,related usage,,Approved,
LX-V2-0145,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Compounding,14,Terraesh,horizon/place where earth meets sky,Compounding Example,Terra + Esh,Terra + Esh = Terraesh (horizon/place where earth meets sky),Canon,Original table/list entry preserved.,LX-V2-0074,duplicate,,Approved,
LX-V2-0146,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Compounding,14,Krezor,forge,Compounding Example,Krez + or,Krez + or = Krezor (forge),Canon,Original table/list entry preserved.,GR-V2-0003,related usage,PT-V2-0012,Needs Human Review,terminology overlap
LX-V2-0147,Volume 2: Dictionary and Word Formation,Food Vocabulary > Staple Foods,14-15,Morlak,Bread/Grain,Staple Foods,unchanged; Mor + lak = earthy substance,Morlak: Bread/Grain (unchanged; Mor + lak = earthy substance),Canon,Original table/list entry preserved.,PE-V2-0052,related usage,,Approved,
LX-V2-0148,Volume 2: Dictionary and Word Formation,Food Vocabulary > Staple Foods,14-15,Velrin,Meal/Food,Staple Foods,general; unchanged; Vel + rin = sustenance essence,Velrin: Meal/Food (general; unchanged; Vel + rin = sustenance essence),Canon,Original table/list entry preserved.,PE-V2-0053,related usage,,Approved,
LX-V2-0149,Volume 2: Dictionary and Word Formation,Food Vocabulary > Staple Foods,14-15,Teravin,Root Vegetable,Staple Foods,Terra + vin = earth-drawn,Teravin: Root Vegetable (Terra + vin = earth-drawn),Canon,Original table/list entry preserved.,PE-V2-0054,related usage,,Approved,
LX-V2-0150,Volume 2: Dictionary and Word Formation,Food Vocabulary > Staple Foods,14-15,Broslak,Layered Bread,Staple Foods,Bros + lak = stratified grain,Broslak: Layered Bread (Bros + lak = stratified grain),Canon,Original table/list entry preserved.,PE-V2-0055,related usage,,Approved,
LX-V2-0151,Volume 2: Dictionary and Word Formation,Food Vocabulary > Staple Foods,14-15,Pelvar,Sharp Grain,Staple Foods,Pel + var = piercing substance,Pelvar: Sharp Grain (Pel + var = piercing substance),Canon,Original table/list entry preserved.,PE-V2-0056,related usage,,Approved,
LX-V2-0152,Volume 2: Dictionary and Word Formation,Food Vocabulary > Prepared Dishes,15,Jorvak,Bursting Stew,Prepared Dishes,Jor + vak = energetic vessel,Jorvak: Bursting Stew (Jor + vak = energetic vessel),Canon,Original table/list entry preserved.,PE-V2-0057,related usage,,Approved,
LX-V2-0153,Volume 2: Dictionary and Word Formation,Food Vocabulary > Prepared Dishes,15,Welrim,Continuous Feast,Prepared Dishes,Wel + rim = flowing celebration,Welrim: Continuous Feast (Wel + rim = flowing celebration),Canon,Original table/list entry preserved.,PE-V2-0058,related usage,,Approved,
LX-V2-0154,Volume 2: Dictionary and Word Formation,Food Vocabulary > Prepared Dishes,15,Lorlivok,Earthbake,Prepared Dishes,Lor + li + vok = fire-heated earth bond,Lorlivok: Earthbake (Lor + li + vok = fire-heated earth bond),Canon,Original table/list entry preserved.,PE-V2-0059,related usage,,Approved,
LX-V2-0155,Volume 2: Dictionary and Word Formation,Food Vocabulary > Prepared Dishes,15,Phelkarin,Comforting Porridge,Prepared Dishes,Phel + karin = soothing grain essence,Phelkarin: Comforting Porridge (Phel + karin = soothing grain essence),Canon,Original table/list entry preserved.,PE-V2-0060,related usage,,Approved,
LX-V2-0156,Volume 2: Dictionary and Word Formation,Food Vocabulary > Prepared Dishes,15,Xarvel,Veiled Meal,Prepared Dishes,Xar + vel = concealed sustenance,Xarvel: Veiled Meal (Xar + vel = concealed sustenance),Canon,Original table/list entry preserved.,PE-V2-0061,related usage,,Approved,
LX-V2-0157,Volume 2: Dictionary and Word Formation,Food Vocabulary > Specialty Ingredients,15,Felorin,Berry/Small Fruit,Specialty Ingredients,Fel + orin = delicate core;,Felorin: Berry/Small Fruit (Fel + orin = delicate core;),Canon,Original table/list entry preserved.,PE-V2-0062,related usage,,Approved,
LX-V2-0158,Volume 2: Dictionary and Word Formation,Food Vocabulary > Specialty Ingredients,15,Jekvin,Spiral Herb,Specialty Ingredients,Jek + vin = twisted essence,Jekvin: Spiral Herb (Jek + vin = twisted essence),Canon,Original table/list entry preserved.,PE-V2-0063,related usage,,Approved,
LX-V2-0159,Volume 2: Dictionary and Word Formation,Food Vocabulary > Specialty Ingredients,15,Belmor,Root Spice,Specialty Ingredients,Bel + mor = binding earth,Belmor: Root Spice (Bel + mor = binding earth),Canon,Original table/list entry preserved.,PE-V2-0064,related usage,,Approved,
LX-V2-0160,Volume 2: Dictionary and Word Formation,Food Vocabulary > Specialty Ingredients,15,Xilvar,Fragmented Salt,Specialty Ingredients,Xil + var = shard of substance,Xilvar: Fragmented Salt (Xil + var = shard of substance),Canon,Original table/list entry preserved.,PE-V2-0065,related usage,,Approved,
LX-V2-0161,Volume 2: Dictionary and Word Formation,Food Vocabulary > Specialty Ingredients,15,Vethhar,Shadowspice,Specialty Ingredients,Veth + har = mystical vitality,Vethhar: Shadowspice (Veth + har = mystical vitality),Canon,Original table/list entry preserved.,PE-V2-0066,related usage,,Approved,
LX-V2-0162,Volume 2: Dictionary and Word Formation,Food Vocabulary > Beverages,15,Phelvin,Comfort Drink,Beverages,Phel + vin = soothing essence,Phelvin: Comfort Drink (Phel + vin = soothing essence),Canon,Original table/list entry preserved.,PE-V2-0067,related usage,,Approved,
LX-V2-0163,Volume 2: Dictionary and Word Formation,Food Vocabulary > Beverages,15,Velithor,Strong Ale,Beverages,Vel + ithor = energy strength; unchanged,Velithor: Strong Ale (Vel + ithor = energy strength; unchanged),Canon,Original table/list entry preserved.,PE-V2-0068,related usage,,Approved,
LX-V2-0164,Volume 2: Dictionary and Word Formation,Food Vocabulary > Beverages,15,Tenarorin,Glow Wine,Beverages,Tenar + orin = radiant essence,Tenarorin: Glow Wine (Tenar + orin = radiant essence),Canon,Original table/list entry preserved.,PE-V2-0069,related usage,,Approved,
LX-V2-0165,Volume 2: Dictionary and Word Formation,Food Vocabulary > Beverages,15,Lianfel,Truth Tea,Beverages,Lian + fel = clarity delicacy,Lianfel: Truth Tea (Lian + fel = clarity delicacy),Canon,Original table/list entry preserved.,PE-V2-0070,related usage,,Approved,
LX-V2-0166,Volume 2: Dictionary and Word Formation,Food Vocabulary > Beverages,15,Jorvilor,Bursting Berry Drink,Beverages,Jor + vilor = energetic berry essence,Jorvilor: Bursting Berry Drink (Jor + vilor = energetic berry essence),Canon,Original table/list entry preserved.,PE-V2-0071,related usage,,Approved,
LX-V2-0167,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Mechuma (Varthas Shal-Kaleth),16,Zhelvek,Energy Bar,Food Vocabulary by Nation,Zhel = spark/energy + vek = carrier,● Zhelvek: Energy Bar (Zhel = spark/energy + vek = carrier),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0077,related usage,,Approved,
LX-V2-0168,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Mechuma (Varthas Shal-Kaleth),16,Velmek,Synthetic Protein,Food Vocabulary by Nation,Vel = sustenance + mek = forged,● Velmek: Synthetic Protein (Vel = sustenance + mek = forged),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0078,related usage,,Approved,
LX-V2-0169,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Mechuma (Varthas Shal-Kaleth),16,Phelrin,Comfort Food,Food Vocabulary by Nation,Phel = warmth + rin = essence,● Phelrin: Comfort Food (Phel = warmth + rin = essence),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0079,related usage,,Approved,
LX-V2-0170,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Mechuma (Varthas Shal-Kaleth),16,Jorvalin,Effervescent Beverage,Food Vocabulary by Nation,Jor = burst + valin = bubbling essence,● Jorvalin: Effervescent Beverage (Jor = burst + valin = bubbling essence),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0080,related usage,,Approved,
LX-V2-0171,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Pelagae (Drenor Thal),17,Drenlivar,Salted Fish,Food Vocabulary by Nation,Dren = water + livar = preserved,● Drenlivar: Salted Fish (Dren = water + livar = preserved),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0081,related usage,,Approved,
LX-V2-0172,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Pelagae (Drenor Thal),17,Eshtenor,Seaweed Snack,Food Vocabulary by Nation,Esh = sky + Tenar = glow,● Eshtenor: Seaweed Snack (Esh = sky + Tenar = glow),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0082,related usage,,Approved,
LX-V2-0173,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Pelagae (Drenor Thal),17,Jekvarin,Spiral Shellfish,Food Vocabulary by Nation,Jek = spiral + varin = small sea creature,● Jekvarin: Spiral Shellfish (Jek = spiral + varin = small sea creature),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0083,related usage,,Approved,
LX-V2-0174,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Pelagae (Drenor Thal),17,Felorin,Berry from Coral Reefs,Food Vocabulary by Nation,Fel = small + orin = core,● Felorin: Berry from Coral Reefs (Fel = small + orin = core),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0084,related usage,PT-V2-0019,Needs Human Review,contextual meaning overlap
LX-V2-0175,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Verdalris (Lorash Terra-Thar),17,Tharmor,Rootbread,Food Vocabulary by Nation,Thar = heart + mor = earth,● Tharmor: Rootbread (Thar = heart + mor = earth),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0085,related usage,,Approved,
LX-V2-0176,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Verdalris (Lorash Terra-Thar),17,Terafennil,Herb Stew,Food Vocabulary by Nation,Terra = earth + fennil = leafy essence,● Terafennil: Herb Stew (Terra = earth + fennil = leafy essence),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0086,related usage,,Approved,
LX-V2-0177,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Verdalris (Lorash Terra-Thar),17,Brenvor,Harvested Nuts,Food Vocabulary by Nation,Bren = gathering + vor = location,● Brenvor: Harvested Nuts (Bren = gathering + vor = location),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0087,related usage,,Approved,
LX-V2-0178,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Verdalris (Lorash Terra-Thar),17,Welvinor,Flowing Mead,Food Vocabulary by Nation,Wel = flow + vinor = sweet liquid,● Welvinor: Flowing Mead (Wel = flow + vinor = sweet liquid),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0088,related usage,,Approved,
LX-V2-0179,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Zarithan (Krez Terra-Vethor),17-18,Krezfel,Spiced Grain,Food Vocabulary by Nation,Krez = fire + fel = small,● Krezfel: Spiced Grain (Krez = fire + fel = small),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0089,related usage,,Approved,
LX-V2-0180,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Zarithan (Krez Terra-Vethor),17-18,Morthas,Sand-Roasted Nuts,Food Vocabulary by Nation,Mor = earth + thas = heat-roasted,● Morthas: Sand-Roasted Nuts (Mor = earth + thas = heat-roasted),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0090,related usage,,Approved,
LX-V2-0181,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Zarithan (Krez Terra-Vethor),17-18,Voktarin,Preserved Dates,Food Vocabulary by Nation,Vok = bond + tarin = dried sweetness,● Voktarin: Preserved Dates (Vok = bond + tarin = dried sweetness),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0091,related usage,,Approved,
LX-V2-0182,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Zarithan (Krez Terra-Vethor),17-18,Phelmorin,Warm Desert Tea,Food Vocabulary by Nation,Phel = warmth + morin = earth essence,● Phelmorin: Warm Desert Tea (Phel = warmth + morin = earth essence),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0092,related usage,,Approved,
LX-V2-0183,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Nivveil (Eshor Thalor),18,Velthamor,Frozen Root Mash,Food Vocabulary by Nation,Vel = sustenance + tham = mashed + or = earth,● Velthamor: Frozen Root Mash (Vel = sustenance + tham = mashed + or = earth),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0093,related usage,,Approved,
LX-V2-0184,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Nivveil (Eshor Thalor),18,Eshvilor,Snowberry Wine,Food Vocabulary by Nation,Esh = sky + vilor = berry essence,● Eshvilor: Snowberry Wine (Esh = sky + vilor = berry essence),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0094,related usage,,Approved,
LX-V2-0185,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Nivveil (Eshor Thalor),18,Thalshorin,Ice Stew,Food Vocabulary by Nation,Thal = balance + shorin = preserved essence,● Thalshorin: Ice Stew (Thal = balance + shorin = preserved essence),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0095,related usage,,Approved,
LX-V2-0186,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Nivveil (Eshor Thalor),18,Xarlorin,Hidden Spice Tea,Food Vocabulary by Nation,Xar = concealed + lorin = guide,● Xarlorin: Hidden Spice Tea (Xar = concealed + lorin = guide),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0096,related usage,,Approved,
LX-V2-0187,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Marakor (Kaleth Rathor),18,Morvenak,Hearty Grain Porridge,Food Vocabulary by Nation,Mor = earth + venak = warm strength,● Morvenak: Hearty Grain Porridge (Mor = earth + venak = warm strength),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0097,related usage,,Approved,
LX-V2-0188,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Marakor (Kaleth Rathor),18,Kreztorin,Smoked and Dried Meat,Food Vocabulary by Nation,Krez = fire + torin = preserved protein,● Kreztorin: Smoked and Dried Meat (Krez = fire + torin = preserved protein),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0098,related usage,,Approved,
LX-V2-0189,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Marakor (Kaleth Rathor),18,Velkorin,Military Ration,Food Vocabulary by Nation,Vel = energy + korin = prepared for travel,● Velkorin: Military Ration (Vel = energy + korin = prepared for travel),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0099,related usage,,Approved,
LX-V2-0190,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Marakor (Kaleth Rathor),18,Xilbren,Fragmented Grain Cake,Food Vocabulary by Nation,Xil = shard + bren = layered gathering,● Xilbren: Fragmented Grain Cake (Xil = shard + bren = layered gathering),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0100,related usage,,Approved,
LX-V2-0191,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Jasara (Dren Vethor-Shalor),18-19,Drenkor,Oasis Bread,Food Vocabulary by Nation,Dren = water + kor = source of strength,● Drenkor: Oasis Bread (Dren = water + kor = source of strength),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0101,related usage,,Approved,
LX-V2-0192,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Jasara (Dren Vethor-Shalor),18-19,Vethsoril,Shadowspice Stew,Food Vocabulary by Nation,Veth = shadow + soril = deep flavor,● Vethsoril: Shadowspice Stew (Veth = shadow + soril = deep flavor),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0102,related usage,,Approved,
LX-V2-0193,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Jasara (Dren Vethor-Shalor),18-19,Shalorin,Sweet Fig-Like Fruit,Food Vocabulary by Nation,Shal = light + orin = essence,● Shalorin: Sweet Fig-Like Fruit (Shal = light + orin = essence),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0103,related usage,,Approved,
LX-V2-0194,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Jasara (Dren Vethor-Shalor),18-19,Welkarin,Flowing Desert Drink,Food Vocabulary by Nation,Wel = flow + karin = soothing,● Welkarin: Flowing Desert Drink (Wel = flow + karin = soothing),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0104,related usage,,Approved,
LX-V2-0195,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Valkeldor (Morl-Kaleth Thar),19,Morlathor,Stone-Root Bread,Food Vocabulary by Nation,Morl = mountain + athor = endurance,● Morlathor: Stone-Root Bread (Morl = mountain + athor = endurance),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0105,related usage,,Approved,
LX-V2-0196,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Valkeldor (Morl-Kaleth Thar),19,Velkrin,Fermented Drink,Food Vocabulary by Nation,Vel = sustenance + krin = aged/fermented,● Velkrin: Fermented Drink (Vel = sustenance + krin = aged/fermented),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0106,related usage,,Approved,
LX-V2-0197,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Valkeldor (Morl-Kaleth Thar),19,Krezlorin,Fire-Grilled Meat,Food Vocabulary by Nation,Krez = fire + lorin = cooking guide,● Krezlorin: Fire-Grilled Meat (Krez = fire + lorin = cooking guide),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0107,related usage,,Approved,
LX-V2-0198,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Valkeldor (Morl-Kaleth Thar),19,Pralvinor,Delicate Mead,Food Vocabulary by Nation,Pral = intricacy + vinor = sweet liquid,● Pralvinor: Delicate Mead (Pral = intricacy + vinor = sweet liquid),Canon,Bullet list item preserved as standalone vocabulary row.,PE-V2-0108,related usage,,Approved,
LX-V2-0199,Volume 2: Dictionary and Word Formation,Seasons,19,Zhaelor,Spring,Seasons,The blooming season.,"Zhaelor (Spring)
○ Root Derivation: Zhael (bloom/renewal) + or (time/place).
○ Meaning: The blooming season.
○ Example: ""Zhaelor shalil nor dren."" ""Spring flows lightly by the water.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0109,related usage,,Approved,
LX-V2-0200,Volume 2: Dictionary and Word Formation,Seasons,19,Fenrek,Summer,Seasons,The season of intense warmth.,"Fenrek (Summer)
○ Root Derivation: Fen (warmth) + rek (intensity).
○ Meaning: The season of intense warmth.
○ Example: ""Fenrek kal nor dren."" ""Summer strengthens by the water.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0110,related usage,,Approved,
LX-V2-0201,Volume 2: Dictionary and Word Formation,Seasons,19,Tharvin,Autumn,Seasons,The balancing season; time of harvest.,"Tharvin (Autumn)
○ Root Derivation: Thar (heart/center) + vin (drawing/pulling).
○ Meaning: The balancing season; time of harvest.
○ Example: ""Tharvin nor dren kal morl."" ""Autumn balances the water with the mountain.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0111,related usage,,Approved,
LX-V2-0202,Volume 2: Dictionary and Word Formation,Seasons,19,Velthaen,Winter,Seasons,The season of cold and spiritual stillness.,"Velthaen (Winter)
○ Root Derivation: Vel (cold/stillness) + thaen (spirit).
○ Meaning: The season of cold and spiritual stillness.
○ Example: ""Velthaen dren nor morl."" ""Winter flows by the mountain.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0112,related usage,,Approved,
LX-V2-0203,Volume 2: Dictionary and Word Formation,Weather Terms > Sky and Atmospheric Phenomena,20,Eshthael,Breeze,Weather Terms,A light and flowing breeze.,"Eshthael (Breeze)
○ Root Derivation: Esh (sky) + thael (gentle motion).
○ Meaning: A light and flowing breeze.
○ Example: ""Eshthael nor dren."" ""The breeze flows by the water.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0113,related usage,,Approved,
LX-V2-0204,Volume 2: Dictionary and Word Formation,Weather Terms > Sky and Atmospheric Phenomena,20,Shalithor,Sunlight,Weather Terms,The life-giving essence of sunlight.,"Shalithor (Sunlight)
○ Root Derivation: Shal (light) + ithor (essence).
○ Meaning: The life-giving essence of sunlight.
○ Example: ""Shalithor kal dren an Evan."" ""The sunlight strengthens at the market.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0114,related usage,,Approved,
LX-V2-0205,Volume 2: Dictionary and Word Formation,Weather Terms > Sky and Atmospheric Phenomena,20,Dralorim,Storm,Weather Terms,A celestial storm or significant weather event.,"Dralorim (Storm)
○ Root Derivation: Dral (heavens) + orim (essence).
○ Meaning: A celestial storm or significant weather event.
○ Example: ""Dralorim nor dren thal shal."" ""The storm flows with the water under the light.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0115,related usage,,Approved,
LX-V2-0206,Volume 2: Dictionary and Word Formation,Weather Terms > Sky and Atmospheric Phenomena,20,Velarshor,Fog,Weather Terms,"A quiet, enveloping mist.","Velarshor (Fog)
○ Root Derivation: Vel (cold/stillness) + arshor (enveloping presence).
○ Meaning: A quiet, enveloping mist.
○ Example: ""Velarshor dren thal morl."" ""The mist rests over the mountain.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0116,related usage,,Approved,
LX-V2-0207,Volume 2: Dictionary and Word Formation,Weather Terms > Rain and Precipitation,20,Drenalor,Rain,Weather Terms,Falling rain from the sky.,"Drenalor (Rain)
○ Root Derivation: Dren (water) + alor (falling).
○ Meaning: Falling rain from the sky.
○ Example: ""Drenalor shalil nor dren."" ""The rain falls lightly over the water.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0117,related usage,,Approved,
LX-V2-0208,Volume 2: Dictionary and Word Formation,Weather Terms > Rain and Precipitation,20,Eshvelor,Snowfall,Weather Terms,Snow falling gently from the sky.,"Eshvelor (Snowfall)
○ Root Derivation: Esh (sky) + velor (falling cold).
○ Meaning: Snow falling gently from the sky.
○ Example: ""Eshvelor nor dren thal morl."" ""The snow falls by the water and the mountain.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0118,related usage,,Approved,
LX-V2-0209,Volume 2: Dictionary and Word Formation,Weather Terms > Other Weather Events,20-21,Thalorim,Lightning,Weather Terms,"A sudden, balanced flash of energy.","Thalorim (Lightning)
○ Root Derivation: Thal (balance) + orim (essence).
○ Meaning: A sudden, balanced flash of energy.
○ Example: ""Thalorim kal dren."" ""The lightning strikes the water.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0119,related usage,,Approved,
LX-V2-0210,Volume 2: Dictionary and Word Formation,Weather Terms > Other Weather Events,20-21,Krezrek,Heatwave,Weather Terms,An overpowering wave of heat.,"Krezrek (Heatwave)
○ Root Derivation: Krez (heat) + rek (intensity).
○ Meaning: An overpowering wave of heat.
○ Example: ""Krezrek dren nor Fenrek."" ""The heatwave flows with summer.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0120,related usage,,Approved,
LX-V2-0211,Volume 2: Dictionary and Word Formation,Weather Terms > Other Weather Events,20-21,Drenvelesh,Morning Dew,Weather Terms,Dew formed from the cold sky.,"Drenvelesh (Morning Dew)
○ Root Derivation: Dren (water) + vel (cold) + esh (sky).
○ Meaning: Dew formed from the cold sky.
○ Example: ""Drenvelesh dren thal morl."" ""The morning dew rests on the water by the mountain.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0121,related usage,,Approved,
LX-V2-0212,Volume 2: Dictionary and Word Formation,Weather Terms > Other Weather Events,20-21,Eshvelaneth,Hailstorm,Weather Terms,A storm of icy hail striking the ground.,"Eshvelaneth (Hailstorm)
○ Root Derivation: Esh (sky) + vel (cold) + aneth (strike).
○ Meaning: A storm of icy hail striking the ground.
○ Example: ""Eshvelaneth kal morl."" ""The hailstorm strikes the mountain.""",Canon,Numbered list item preserved in original_wording field.,PE-V2-0122,related usage,,Approved,
LX-V2-0213,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,22-23,Ilinor,All / Entire / Whole,Quantifier,Usage: Placed before the noun it modifies.,"Ilinor (All / Entire / Whole): Derivation: Ilin (We/Collective) + -or (Place/Domain)? Suggests ""the whole domain of us."" Usage: Placed before the noun.",Canon,Original quantifier entry preserved. Derivation contains source uncertainty.,GR-V2-0005,related usage,PT-V2-0021,Needs Human Review,possible derivation uncertainty
LX-V2-0214,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,22-23,Som,Some / A few / Part of,Quantifier,Usage: Placed before the noun.,Som (Some / A few / Part of): Derivation: Coined short word. Usage: Placed before the noun.,Canon,Original quantifier entry preserved.,GR-V2-0005,related usage,,Approved,
LX-V2-0215,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,22-23,Melen,Many / Much / Numerous,Quantifier,Usage: Placed before the noun.,"Melen (Many / Much / Numerous): Derivation: Mel- (Thousand prefix) + -en (Honorific/Collective feel)? Suggests a large, respected number. Usage: Placed before the noun.",Canon,Original quantifier entry preserved. Derivation contains source uncertainty.,GR-V2-0005,related usage,PT-V2-0022,Needs Human Review,possible derivation uncertainty
LX-V2-0216,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Quantifiers,22-23,Felin,Few / Little / Small amount,Quantifier,Usage: Placed before the noun.,Felin (Few / Little / Small amount): Derivation: Fel (Small/Young root) + -in (Collective/Plural). Usage: Placed before the noun.,Canon,Original quantifier entry preserved.,GR-V2-0005,related usage,,Approved,
